Michigan, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,260,-41
189605,137,-164
189705,382,81
189805,292,-9
189905,253,-48
190005,254,-47
190105,328,27
190205,276,-25
190305,232,-69
190405,297,-4
190505,334,33
190605,304,3
190705,510,209
190805,273,-28
190905,347,46
191005,427,126
191105,156,-145
191205,269,-32
191305,310,9
191405,247,-54
191505,427,126
191605,310,9
191705,493,192
191805,199,-102
191905,358,57
192005,367,66
192105,222,-79
192205,189,-112
192305,375,74
192405,476,175
192505,414,113
192605,308,7
192705,351,50
192805,312,11
192905,371,70
193005,253,-48
193105,327,26
193205,271,-30
193305,248,-53
193405,203,-98
193505,444,143
193605,196,-105
193705,281,-20
193805,285,-16
193905,215,-86
194005,355,54
194105,209,-92
194205,254,-47
194305,348,47
194405,190,-111
194505,459,158
194605,352,51
194705,421,120
194805,365,64
194905,243,-58
195005,282,-19
195105,241,-60
195205,327,26
195305,254,-47
195405,402,101
195505,221,-80
195605,341,40
195705,331,30
195805,303,2
195905,188,-113
196005,306,5
196105,381,80
196205,164,-137
196305,346,45
196405,193,-108
196505,191,-110
196605,443,142
196705,438,137
196805,376,75
196905,305,4
197005,234,-67
197105,339,38
197205,238,-63
197305,378,77
197405,376,75
197505,182,-119
197605,363,62
197705,150,-151
197805,259,-42
197905,320,19
198005,249,-52
198105,342,41
198205,156,-145
198305,401,100
198405,395,94
198505,218,-83
198605,242,-59
198705,186,-115
198805,216,-85
198905,322,21
199005,351,50
199105,143,-158
199205,295,-6
199305,276,-25
199405,336,35
199505,304,3
199605,350,49
199705,479,178
199805,146,-155
199905,205,-96
200005,220,-81
200105,219,-82
200205,403,102
200305,336,35
200405,252,-49
200505,353,52
200605,246,-55
200705,202,-99
200805,352,51
200905,278,-23
201005,197,-104
201105,247,-54
201205,167,-134
201305,200,-101
201405,253,-48
201505,187,-114
