Michigan, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,556,-52
189604,444,-164
189704,666,58
189804,676,68
189904,516,-92
190004,571,-37
190104,603,-5
190204,618,10
190304,613,5
190404,773,165
190504,663,55
190604,549,-59
190704,851,243
190804,618,10
190904,704,96
191004,518,-90
191104,661,53
191204,598,-10
191304,586,-22
191404,645,37
191504,435,-173
191604,615,7
191704,705,97
191804,675,67
191904,626,18
192004,782,174
192104,430,-178
192204,581,-27
192304,667,59
192404,630,22
192504,478,-130
192604,792,184
192704,621,13
192804,716,108
192904,553,-55
193004,603,-5
193104,577,-31
193204,687,79
193304,597,-11
193404,678,70
193504,672,64
193604,751,143
193704,656,48
193804,557,-51
193904,693,85
194004,730,122
194104,444,-164
194204,438,-170
194304,722,114
194404,726,118
194504,521,-87
194604,570,-38
194704,671,63
194804,473,-135
194904,598,-10
195004,790,182
195104,642,34
195204,542,-66
195304,688,80
195404,508,-100
195504,395,-213
195604,668,60
195704,560,-48
195804,547,-61
195904,582,-26
196004,518,-90
196104,717,109
196204,588,-20
196304,557,-51
196404,544,-64
196504,692,84
196604,672,64
196704,561,-47
196804,503,-105
196904,545,-63
197004,559,-49
197104,649,41
197204,696,88
197304,567,-41
197404,538,-70
197504,769,161
197604,527,-81
197704,453,-155
197804,652,44
197904,659,51
198004,612,4
198104,507,-101
198204,714,106
198304,685,77
198404,583,-25
198504,435,-173
198604,487,-121
198704,494,-114
198804,578,-30
198904,652,44
199004,533,-75
199104,469,-139
199204,659,51
199304,634,26
199404,533,-75
199504,690,82
199604,683,75
199704,658,50
199804,515,-93
199904,501,-107
200004,594,-14
200104,487,-121
200204,533,-75
200304,592,-16
200404,507,-101
200504,485,-123
200604,454,-154
200704,608,0
200804,473,-135
200904,552,-56
201004,403,-205
201104,602,-6
201204,549,-59
201304,643,35
201404,580,-28
201504,552,-56
