Alabama, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,715,55
189601,692,32
189701,751,91
189801,544,-116
189901,689,29
190001,691,31
190101,632,-28
190201,714,54
190301,695,35
190401,769,109
190501,857,197
190601,617,-43
190701,413,-247
190801,694,34
190901,529,-131
191001,645,-15
191101,524,-136
191201,800,140
191301,484,-176
191401,592,-68
191501,734,74
191601,470,-190
191701,532,-128
191801,902,242
191901,689,29
192001,618,-42
192101,544,-116
192201,621,-39
192301,496,-164
192401,789,129
192501,603,-57
192601,695,35
192701,583,-77
192801,690,30
192901,584,-76
193001,675,15
193101,692,32
193201,464,-196
193301,479,-181
193401,564,-96
193501,611,-49
193601,730,70
193701,348,-312
193801,623,-37
193901,556,-104
194001,1062,402
194101,623,-37
194201,737,77
194301,589,-71
194401,652,-8
194501,672,12
194601,620,-40
194701,544,-116
194801,861,201
194901,448,-212
195001,308,-352
195101,608,-52
195201,455,-205
195301,536,-124
195401,604,-56
195501,685,25
195601,739,79
195701,575,-85
195801,810,150
195901,717,57
196001,668,8
196101,828,168
196201,730,70
196301,838,178
196401,726,66
196501,614,-46
196601,812,152
196701,642,-18
196801,739,79
196901,711,51
197001,863,203
197101,662,2
197201,549,-111
197301,712,52
197401,402,-258
197501,543,-117
197601,791,131
197701,1019,359
197801,947,287
197901,877,217
198001,616,-44
198101,819,159
198201,730,70
198301,737,77
198401,801,141
198501,896,236
198601,709,49
198701,713,53
198801,787,127
198901,504,-156
199001,517,-143
199101,633,-27
199201,674,14
199301,551,-109
199401,786,126
199501,642,-18
199601,705,45
199701,634,-26
199801,571,-89
199901,531,-129
200001,621,-39
200101,769,109
200201,598,-62
200301,810,150
200401,677,17
200501,531,-129
200601,482,-178
200701,606,-54
200801,709,49
200901,657,-3
201001,809,149
201101,771,111
201201,509,-151
201301,524,-136
201401,887,227
201501,700,40
