Indiana, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,155,-36
189605,68,-123
189705,271,80
189805,172,-19
189905,147,-44
190005,133,-58
190105,217,26
190205,118,-73
190305,124,-67
190405,190,-1
190505,167,-24
190605,156,-35
190705,325,134
190805,159,-32
190905,236,45
191005,304,113
191105,91,-100
191205,146,-45
191305,177,-14
191405,145,-46
191505,249,58
191605,160,-31
191705,341,150
191805,95,-96
191905,246,55
192005,222,31
192105,138,-53
192205,114,-77
192305,231,40
192405,344,153
192505,280,89
192605,164,-27
192705,209,18
192805,208,17
192905,244,53
193005,160,-31
193105,249,58
193205,176,-15
193305,138,-53
193405,112,-79
193505,296,105
193605,126,-65
193705,180,-11
193805,182,-9
193905,135,-56
194005,259,68
194105,129,-62
194205,159,-32
194305,187,-4
194405,88,-103
194505,300,109
194605,236,45
194705,264,73
194805,219,28
194905,155,-36
195005,155,-36
195105,149,-42
195205,204,13
195305,141,-50
195405,285,94
195505,149,-42
195605,174,-17
195705,181,-10
195805,198,7
195905,108,-83
196005,242,51
196105,292,101
196205,77,-114
196305,228,37
196405,115,-76
196505,84,-107
196605,294,103
196705,277,86
196805,260,69
196905,177,-14
197005,128,-63
197105,261,70
197205,147,-44
197305,260,69
197405,215,24
197505,117,-74
197605,249,58
197705,70,-121
197805,219,28
197905,213,22
198005,162,-29
198105,257,66
198205,88,-103
198305,261,70
198405,254,63
198505,138,-53
198605,158,-33
198705,93,-98
198805,146,-45
198905,252,61
199005,243,52
199105,71,-120
199205,217,26
199305,163,-28
199405,246,55
199505,210,19
199605,205,14
199705,306,115
199805,95,-96
199905,138,-53
200005,131,-60
200105,134,-57
200205,251,60
200305,202,11
200405,107,-84
200505,229,38
200605,208,17
200705,99,-92
200805,257,66
200905,171,-20
201005,131,-60
201105,166,-25
201205,80,-111
201305,124,-67
201405,156,-35
201505,118,-73
