Washington, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,345,128
189609,295,78
189709,274,57
189809,193,-24
189909,188,-29
190009,254,37
190109,287,70
190209,264,47
190309,280,63
190409,197,-20
190509,211,-6
190609,232,15
190709,234,17
190809,258,41
190909,202,-15
191009,255,38
191109,294,77
191209,257,40
191309,236,19
191409,292,75
191509,241,24
191609,245,28
191709,221,4
191809,147,-70
191909,227,10
192009,258,41
192109,312,95
192209,203,-14
192309,188,-29
192409,226,9
192509,217,0
192609,305,88
192709,245,28
192809,246,29
192909,225,8
193009,216,-1
193109,229,12
193209,213,-4
193309,306,89
193409,257,40
193509,178,-39
193609,251,34
193709,197,-20
193809,132,-85
193909,210,-7
194009,140,-77
194109,276,59
194209,190,-27
194309,159,-58
194409,157,-60
194509,270,53
194609,224,7
194709,207,-10
194809,256,39
194909,182,-35
195009,210,-7
195109,194,-23
195209,169,-48
195309,190,-27
195409,227,10
195509,247,30
195609,228,11
195709,128,-89
195809,212,-5
195909,269,52
196009,240,23
196109,267,50
196209,195,-22
196309,121,-96
196409,272,55
196509,281,64
196609,161,-56
196709,112,-105
196809,223,6
196909,211,-6
197009,302,85
197109,284,67
197209,309,92
197309,196,-21
197409,129,-88
197509,183,-34
197609,171,-46
197709,273,56
197809,256,39
197909,145,-72
198009,211,-6
198109,190,-27
198209,193,-24
198309,275,58
198409,245,28
198509,283,66
198609,253,36
198709,148,-69
198809,209,-8
198909,159,-58
199009,124,-93
199109,152,-65
199209,243,26
199309,183,-34
199409,128,-89
199509,122,-95
199609,260,43
199709,147,-70
199809,121,-96
199909,205,-12
200009,212,-5
200109,182,-35
200209,198,-19
200309,144,-73
200409,230,13
200509,241,24
200609,171,-46
200709,227,10
200809,200,-17
200909,152,-65
201009,193,-24
201109,127,-90
201209,164,-53
201309,154,-63
201409,133,-84
201509,229,12
