Maine, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1402,106
189602,1325,29
189702,1267,-29
189802,1182,-114
189902,1383,87
190002,1306,10
190102,1433,137
190202,1252,-44
190302,1262,-34
190402,1515,219
190502,1461,165
190602,1278,-18
190702,1506,210
190802,1383,87
190902,1298,2
191002,1327,31
191102,1446,150
191202,1353,57
191302,1404,108
191402,1531,235
191502,1154,-142
191602,1381,85
191702,1455,159
191802,1436,140
191902,1205,-91
192002,1366,70
192102,1267,-29
192202,1340,44
192302,1562,266
192402,1451,155
192502,1121,-175
192602,1371,75
192702,1315,19
192802,1333,37
192902,1305,9
193002,1287,-9
193102,1249,-47
193202,1350,54
193302,1158,-138
193402,1602,306
193502,1375,79
193602,1436,140
193702,1133,-163
193802,1267,-29
193902,1306,10
194002,1249,-47
194102,1195,-101
194202,1311,15
194302,1223,-73
194402,1327,31
194502,1262,-34
194602,1388,92
194702,1212,-84
194802,1431,135
194902,1213,-83
195002,1389,93
195102,1158,-138
195202,1195,-101
195302,1152,-144
195402,1080,-216
195502,1202,-94
195602,1235,-61
195702,1170,-126
195802,1350,54
195902,1406,110
196002,1084,-212
196102,1246,-50
196202,1431,135
196302,1452,156
196402,1248,-48
196502,1338,42
196602,1245,-51
196702,1437,141
196802,1404,108
196902,1218,-78
197002,1251,-45
197102,1284,-12
197202,1335,39
197302,1275,-21
197402,1291,-5
197502,1285,-11
197602,1159,-137
197702,1280,-16
197802,1370,74
197902,1418,122
198002,1312,16
198102,1000,-296
198202,1313,17
198302,1175,-121
198402,1021,-275
198502,1179,-117
198602,1287,-9
198702,1297,1
198802,1222,-74
198902,1285,-11
199002,1246,-50
199102,1144,-152
199202,1244,-52
199302,1493,197
199402,1391,95
199502,1336,40
199602,1243,-53
199702,1176,-120
199802,1040,-256
199902,1108,-188
200002,1194,-102
200102,1267,-29
200202,1142,-154
200302,1363,67
200402,1211,-85
200502,1182,-114
200602,1182,-114
200702,1385,89
200802,1189,-107
200902,1202,-94
201002,1054,-242
201102,1268,-28
201202,1106,-190
201302,1155,-141
201402,1271,-25
201502,1579,283
