Missouri, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1186,285
189602,856,-45
189702,882,-19
189802,872,-29
189902,1281,380
190002,1122,221
190102,1075,174
190202,1191,290
190302,1031,130
190402,1029,128
190502,1269,368
190602,948,47
190702,909,8
190802,910,9
190902,815,-86
191002,1047,146
191102,790,-111
191202,1093,192
191302,1040,139
191402,1097,196
191502,770,-131
191602,997,96
191702,1029,128
191802,891,-10
191902,873,-28
192002,893,-8
192102,729,-172
192202,871,-30
192302,1016,115
192402,913,12
192502,770,-131
192602,762,-139
192702,707,-194
192802,829,-72
192902,1168,267
193002,626,-275
193102,714,-187
193202,680,-221
193302,961,60
193402,959,58
193502,818,-83
193602,1257,356
193702,979,78
193802,729,-172
193902,954,53
194002,945,44
194102,962,61
194202,957,56
194302,782,-119
194402,831,-70
194502,882,-19
194602,739,-162
194702,1068,167
194802,951,50
194902,906,5
195002,856,-45
195102,881,-20
195202,752,-149
195302,752,-149
195402,628,-273
195502,926,25
195602,873,-28
195702,746,-155
195802,1140,239
195902,900,-1
196002,1031,130
196102,796,-105
196202,850,-51
196302,1012,111
196402,910,9
196502,930,29
196602,938,37
196702,970,69
196802,1000,99
196902,889,-12
197002,899,-2
197102,953,52
197202,901,0
197302,893,-8
197402,807,-94
197502,972,71
197602,631,-270
197702,873,-28
197802,1248,347
197902,1202,301
198002,1066,165
198102,853,-48
198202,999,98
198302,791,-110
198402,708,-193
198502,1055,154
198602,900,-1
198702,725,-176
198802,1004,103
198902,1132,231
199002,732,-169
199102,724,-177
199202,692,-209
199302,990,89
199402,941,40
199502,840,-61
199602,854,-47
199702,802,-99
199802,675,-226
199902,653,-248
200002,656,-245
200102,894,-7
200202,790,-111
200302,971,70
200402,914,13
200502,716,-185
200602,880,-21
200702,1032,131
200802,985,84
200902,771,-130
201002,1057,156
201102,920,19
201202,723,-178
201302,884,-17
201402,1121,220
201502,1118,217
