Idaho, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,948,66
189603,920,38
189703,1106,224
189803,1002,120
189903,958,76
190003,708,-174
190103,905,23
190203,951,69
190303,923,41
190403,944,62
190503,749,-133
190603,1013,131
190703,831,-51
190803,879,-3
190903,840,-42
191003,692,-190
191103,831,-51
191203,960,78
191303,1001,119
191403,808,-74
191503,749,-133
191603,810,-72
191703,1201,319
191803,805,-77
191903,886,4
192003,918,36
192103,812,-70
192203,1061,179
192303,992,110
192403,961,79
192503,818,-64
192603,782,-100
192703,894,12
192803,815,-67
192903,891,9
193003,833,-49
193103,889,7
193203,956,74
193303,958,76
193403,633,-249
193503,954,72
193603,976,94
193703,887,5
193803,902,20
193903,856,-26
194003,760,-122
194103,766,-116
194203,965,83
194303,997,115
194403,986,104
194503,922,40
194603,823,-59
194703,767,-115
194803,989,107
194903,862,-20
195003,943,61
195103,1023,141
195203,1057,175
195303,835,-47
195403,952,70
195503,1095,213
195603,915,33
195703,861,-21
195803,921,39
195903,892,10
196003,888,6
196103,828,-54
196203,988,106
196303,834,-48
196403,1071,189
196503,1005,123
196603,876,-6
196703,875,-7
196803,761,-121
196903,992,110
197003,905,23
197103,977,95
197203,767,-115
197303,880,-2
197403,865,-17
197503,947,65
197603,1050,168
197703,933,51
197803,726,-156
197903,853,-29
198003,888,6
198103,775,-107
198203,863,-19
198303,776,-106
198403,880,-2
198503,1043,161
198603,668,-214
198703,796,-86
198803,840,-42
198903,853,-29
199003,777,-105
199103,859,-23
199203,640,-242
199303,865,-17
199403,737,-145
199503,841,-41
199603,818,-64
199703,817,-65
199803,838,-44
199903,849,-33
200003,833,-49
200103,774,-108
200203,963,81
200303,764,-118
200403,693,-189
200503,783,-99
200603,889,7
200703,704,-178
200803,952,70
200903,925,43
201003,813,-69
201103,863,-19
201203,777,-105
201303,809,-73
201403,774,-108
201503,646,-236
