New York, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1016,-82
189612,1168,70
189712,1066,-32
189812,1139,41
189912,1044,-54
190012,1127,29
190112,1143,45
190212,1214,116
190312,1276,178
190412,1328,230
190512,1031,-67
190612,1196,98
190712,1026,-72
190812,1109,11
190912,1210,112
191012,1327,229
191112,951,-147
191212,976,-122
191312,994,-104
191412,1198,100
191512,1153,55
191612,1140,42
191712,1419,321
191812,1006,-92
191912,1276,178
192012,1028,-70
192112,1169,71
192212,1140,42
192312,877,-221
192412,1172,74
192512,1109,11
192612,1282,184
192712,1062,-36
192812,984,-114
192912,1130,32
193012,1096,-2
193112,948,-150
193212,1001,-97
193312,1190,92
193412,1166,68
193512,1256,158
193612,991,-107
193712,1133,35
193812,1063,-35
193912,1083,-15
194012,1030,-68
194112,1007,-91
194212,1230,132
194312,1208,110
194412,1211,113
194512,1270,172
194612,1036,-62
194712,1182,84
194812,1033,-65
194912,1008,-90
195012,1129,31
195112,1037,-61
195212,1003,-95
195312,922,-176
195412,1086,-12
195512,1275,177
195612,960,-138
195712,936,-162
195812,1325,227
195912,1021,-77
196012,1255,157
196112,1096,-2
196212,1216,118
196312,1295,197
196412,1067,-31
196512,996,-102
196612,1080,-18
196712,1021,-77
196812,1179,81
196912,1187,89
197012,1152,54
197112,965,-133
197212,1010,-88
197312,1002,-96
197412,1003,-95
197512,1096,-2
197612,1270,172
197712,1132,34
197812,1043,-55
197912,969,-129
198012,1238,140
198112,1098,0
198212,890,-208
198312,1143,45
198412,887,-211
198512,1167,69
198612,1000,-98
198712,981,-117
198812,1096,-2
198912,1451,353
199012,901,-197
199112,987,-111
199212,1033,-65
199312,1081,-17
199412,925,-173
199512,1201,103
199612,905,-193
199712,1002,-96
199812,867,-231
199912,967,-131
200012,1232,134
200112,841,-257
200212,1088,-10
200312,1009,-89
200412,1036,-62
200512,1106,8
200612,817,-281
200712,1048,-50
200812,1013,-85
200912,1068,-30
201012,1146,48
201112,872,-226
201212,883,-215
201312,1038,-60
201412,918,-180
201512,647,-451
