Idaho, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1249,56
189612,1028,-165
189712,1197,4
189812,1383,190
189912,1256,63
190012,1048,-145
190112,1118,-75
190212,1175,-18
190312,1195,2
190412,1160,-33
190512,1296,103
190612,1014,-179
190712,1114,-79
190812,1222,29
190912,1386,193
191012,1074,-119
191112,1250,57
191212,1228,35
191312,1272,79
191412,1426,233
191512,1195,2
191612,1355,162
191712,890,-303
191812,1225,32
191912,1442,249
192012,1133,-60
192112,1151,-42
192212,1278,85
192312,1225,32
192412,1460,267
192512,1044,-149
192612,1224,31
192712,1377,184
192812,1343,150
192912,1022,-171
193012,1426,233
193112,1323,130
193212,1412,219
193312,944,-249
193412,1148,-45
193512,1223,30
193612,1129,-64
193712,1047,-146
193812,1112,-81
193912,956,-237
194012,1075,-118
194112,1071,-122
194212,1120,-73
194312,1139,-54
194412,1234,41
194512,1208,15
194612,1031,-162
194712,1133,-60
194812,1392,199
194912,1179,-14
195012,1005,-188
195112,1303,110
195212,1127,-66
195312,1142,-51
195412,1229,36
195512,1120,-73
195612,1170,-23
195712,1081,-112
195812,1001,-192
195912,1182,-11
196012,1215,22
196112,1226,33
196212,1050,-143
196312,1262,69
196412,1134,-59
196512,1159,-34
196612,1148,-45
196712,1288,95
196812,1195,2
196912,1102,-91
197012,1206,13
197112,1275,82
197212,1382,189
197312,1056,-137
197412,1156,-37
197512,1105,-88
197612,1179,-14
197712,1056,-137
197812,1372,179
197912,1062,-131
198012,1063,-130
198112,1073,-120
198212,1197,4
198312,1379,186
198412,1391,198
198512,1539,346
198612,1198,5
198712,1159,-34
198812,1271,78
198912,1145,-48
199012,1496,303
199112,1132,-61
199212,1301,108
199312,1142,-51
199412,1191,-2
199512,1101,-92
199612,1124,-69
199712,1198,5
199812,1222,29
199912,1145,-48
200012,1199,6
200112,1236,43
200212,1025,-168
200312,1045,-148
200412,1053,-140
200512,1251,58
200612,1161,-32
200712,1190,-3
200812,1235,42
200912,1323,130
201012,1110,-83
201112,1179,-14
201212,1104,-89
201312,1313,120
201412,1016,-177
201512,1178,-15
