Kentucky, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,276,-33
189604,137,-172
189704,329,20
189804,421,112
189904,276,-33
190004,305,-4
190104,452,143
190204,369,60
190304,334,25
190404,470,161
190504,298,-11
190604,237,-72
190704,535,226
190804,268,-41
190904,310,1
191004,314,5
191104,375,66
191204,236,-73
191304,328,19
191404,306,-3
191504,204,-105
191604,360,51
191704,319,10
191804,366,57
191904,298,-11
192004,390,81
192104,250,-59
192204,227,-82
192304,348,39
192404,279,-30
192504,186,-123
192604,447,138
192704,248,-61
192804,411,102
192904,212,-97
193004,232,-77
193104,323,14
193204,313,4
193304,323,14
193404,284,-25
193504,341,32
193604,402,93
193704,323,14
193804,227,-82
193904,376,67
194004,361,52
194104,207,-102
194204,241,-68
194304,365,56
194404,324,15
194504,246,-63
194604,222,-87
194704,250,-59
194804,197,-112
194904,366,57
195004,425,116
195104,384,75
195204,318,9
195304,383,74
195404,160,-149
195504,191,-118
195604,372,63
195704,219,-90
195804,315,6
195904,288,-21
196004,227,-82
196104,466,157
196204,399,90
196304,244,-65
196404,217,-92
196504,242,-67
196604,359,50
196704,207,-102
196804,281,-28
196904,264,-45
197004,243,-66
197104,340,31
197204,304,-5
197304,357,48
197404,274,-35
197504,390,81
197604,308,-1
197704,211,-98
197804,264,-45
197904,332,23
198004,369,60
198104,174,-135
198204,427,118
198304,441,132
198404,351,42
198504,206,-103
198604,237,-72
198704,353,44
198804,320,11
198904,325,16
199004,340,31
199104,210,-99
199204,291,-18
199304,360,51
199404,228,-81
199504,279,-30
199604,381,72
199704,446,137
199804,326,17
199904,221,-88
200004,339,30
200104,182,-127
200204,215,-94
200304,237,-72
200404,289,-20
200504,256,-53
200604,178,-131
200704,353,44
200804,298,-11
200904,286,-23
201004,184,-125
201104,211,-98
201204,251,-58
201304,305,-4
201404,244,-65
201504,246,-63
