Pennsylvania, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,49,-56
189609,113,8
189709,101,-4
189809,59,-46
189909,134,29
190009,37,-68
190109,99,-6
190209,122,17
190309,109,4
190409,107,2
190509,102,-3
190609,49,-56
190709,87,-18
190809,83,-22
190909,127,22
191009,72,-33
191109,87,-18
191209,76,-29
191309,132,27
191409,156,51
191509,61,-44
191609,123,18
191709,198,93
191809,202,97
191909,89,-16
192009,93,-12
192109,34,-71
192209,68,-37
192309,87,-18
192409,190,85
192509,52,-53
192609,105,0
192709,91,-14
192809,183,78
192909,78,-27
193009,43,-62
193109,32,-73
193209,83,-22
193309,64,-41
193409,70,-35
193509,151,46
193609,68,-37
193709,154,49
193809,142,37
193909,78,-27
194009,162,57
194109,69,-36
194209,104,-1
194309,137,32
194409,94,-11
194509,59,-46
194609,85,-20
194709,86,-19
194809,98,-7
194909,174,69
195009,160,55
195109,113,8
195209,105,0
195309,96,-9
195409,89,-16
195509,108,3
195609,175,70
195709,86,-19
195809,119,14
195909,52,-53
196009,83,-22
196109,29,-76
196209,194,89
196309,183,78
196409,105,0
196509,69,-36
196609,157,52
196709,158,53
196809,80,-25
196909,104,-1
197009,53,-52
197109,50,-55
197209,86,-19
197309,82,-23
197409,144,39
197509,181,76
197609,150,45
197709,73,-32
197809,97,-8
197909,106,1
198009,58,-47
198109,126,21
198209,113,8
198309,85,-20
198409,158,53
198509,78,-27
198609,100,-5
198709,98,-7
198809,138,33
198909,95,-10
199009,121,16
199109,114,9
199209,121,16
199309,117,12
199409,127,22
199509,117,12
199609,96,-9
199709,124,19
199809,53,-52
199909,79,-26
200009,124,19
200109,122,17
200209,53,-52
200309,95,-10
200409,63,-42
200509,40,-65
200609,129,24
200709,56,-49
200809,70,-35
200909,108,3
201009,62,-43
201109,57,-48
201209,90,-15
201309,112,7
201409,83,-22
201509,33,-72
