Massachusetts, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1292,60
189601,1357,125
189701,1236,4
189801,1256,24
189901,1244,12
190001,1214,-18
190101,1268,36
190201,1293,61
190301,1231,-1
190401,1481,249
190501,1358,126
190601,1056,-176
190701,1287,55
190801,1181,-51
190901,1181,-51
191001,1181,-51
191101,1156,-76
191201,1491,259
191301,942,-290
191401,1260,28
191501,1147,-85
191601,1125,-107
191701,1234,2
191801,1512,280
191901,1131,-101
192001,1480,248
192101,1177,-55
192201,1339,107
192301,1354,122
192401,1176,-56
192501,1330,98
192601,1209,-23
192701,1232,0
192801,1141,-91
192901,1262,30
193001,1180,-52
193101,1239,7
193201,942,-290
193301,982,-250
193401,1200,-32
193501,1378,146
193601,1275,43
193701,984,-248
193801,1284,52
193901,1246,14
194001,1437,205
194101,1325,93
194201,1264,32
194301,1321,89
194401,1182,-50
194501,1386,154
194601,1238,6
194701,1126,-106
194801,1422,190
194901,1029,-203
195001,989,-243
195101,1090,-142
195201,1108,-124
195301,1053,-179
195401,1296,64
195501,1238,6
195601,1168,-64
195701,1417,185
195801,1169,-63
195901,1247,15
196001,1200,-32
196101,1406,174
196201,1238,6
196301,1255,23
196401,1173,-59
196501,1317,85
196601,1238,6
196701,1069,-163
196801,1369,137
196901,1236,4
197001,1484,252
197101,1412,180
197201,1158,-74
197301,1141,-91
197401,1156,-76
197501,1091,-141
197601,1359,127
197701,1470,238
197801,1274,42
197901,1164,-68
198001,1176,-56
198101,1489,257
198201,1460,228
198301,1171,-61
198401,1307,75
198501,1370,138
198601,1150,-82
198701,1241,9
198801,1301,69
198901,1081,-151
199001,980,-252
199101,1208,-24
199201,1169,-63
199301,1130,-102
199401,1437,205
199501,1006,-226
199601,1213,-19
199701,1191,-41
199801,1020,-212
199901,1169,-63
200001,1247,15
200101,1218,-14
200201,982,-250
200301,1383,151
200401,1446,214
200501,1262,30
200601,962,-270
200701,1058,-174
200801,1108,-124
200901,1362,130
201001,1181,-51
201101,1286,54
201201,1033,-199
201301,1126,-106
201401,1260,28
201501,1293,61
