Wisconsin, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,551,-80
189604,497,-134
189704,648,17
189804,648,17
189904,540,-91
190004,541,-90
190104,571,-60
190204,633,2
190304,597,-34
190404,779,148
190504,643,12
190604,541,-90
190704,857,226
190804,610,-21
190904,786,155
191004,526,-105
191104,676,45
191204,584,-47
191304,577,-54
191404,662,31
191504,384,-247
191604,648,17
191704,726,95
191804,726,95
191904,621,-10
192004,798,167
192104,467,-164
192204,637,6
192304,701,70
192404,669,38
192504,478,-153
192604,760,129
192704,645,14
192804,778,147
192904,572,-59
193004,592,-39
193104,575,-56
193204,673,42
193304,678,47
193404,661,30
193504,698,67
193604,789,158
193704,695,64
193804,591,-40
193904,723,92
194004,715,84
194104,461,-170
194204,458,-173
194304,684,53
194404,737,106
194504,604,-27
194604,528,-103
194704,694,63
194804,502,-129
194904,619,-12
195004,841,210
195104,698,67
195204,540,-91
195304,730,99
195404,555,-76
195504,435,-196
195604,707,76
195704,597,-34
195804,595,-36
195904,623,-8
196004,558,-73
196104,743,112
196204,643,12
196304,553,-78
196404,594,-37
196504,708,77
196604,708,77
196704,618,-13
196804,558,-73
196904,578,-53
197004,589,-42
197104,642,11
197204,753,122
197304,664,33
197404,569,-62
197504,802,171
197604,541,-90
197704,451,-180
197804,669,38
197904,724,93
198004,593,-38
198104,531,-100
198204,740,109
198304,726,95
198404,611,-20
198504,463,-168
198604,490,-141
198704,491,-140
198804,597,-34
198904,667,36
199004,546,-85
199104,512,-119
199204,705,74
199304,716,85
199404,586,-45
199504,739,108
199604,735,104
199704,682,51
199804,535,-96
199904,528,-103
200004,623,-8
200104,493,-138
200204,603,-28
200304,639,8
200404,565,-66
200504,495,-136
200604,457,-174
200704,637,6
200804,593,-38
200904,628,-3
201004,431,-200
201104,660,29
201204,578,-53
201304,732,101
201404,687,56
201504,571,-60
