Connecticut, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1282,79
189601,1335,132
189701,1236,33
189801,1201,-2
189901,1225,22
190001,1179,-24
190101,1237,34
190201,1277,74
190301,1211,8
190401,1461,258
190501,1333,130
190601,1040,-163
190701,1223,20
190801,1170,-33
190901,1146,-57
191001,1181,-22
191101,1128,-75
191201,1489,286
191301,930,-273
191401,1223,20
191501,1123,-80
191601,1089,-114
191701,1195,-8
191801,1511,308
191901,1097,-106
192001,1454,251
192101,1161,-42
192201,1306,103
192301,1318,115
192401,1148,-55
192501,1309,106
192601,1169,-34
192701,1225,22
192801,1127,-76
192901,1236,33
193001,1165,-38
193101,1210,7
193201,884,-319
193301,957,-246
193401,1131,-72
193501,1309,106
193601,1256,53
193701,944,-259
193801,1230,27
193901,1221,18
194001,1429,226
194101,1284,81
194201,1255,52
194301,1268,65
194401,1153,-50
194501,1383,180
194601,1184,-19
194701,1076,-127
194801,1400,197
194901,1002,-201
195001,957,-246
195101,1076,-127
195201,1084,-119
195301,1031,-172
195401,1262,59
195501,1223,20
195601,1157,-46
195701,1354,151
195801,1183,-20
195901,1210,7
196001,1164,-39
196101,1386,183
196201,1193,-10
196301,1253,50
196401,1148,-55
196501,1303,100
196601,1209,6
196701,1036,-167
196801,1341,138
196901,1221,18
197001,1446,243
197101,1364,161
197201,1126,-77
197301,1105,-98
197401,1124,-79
197501,1041,-162
197601,1329,126
197701,1452,249
197801,1270,67
197901,1149,-54
198001,1136,-67
198101,1437,234
198201,1432,229
198301,1150,-53
198401,1291,88
198501,1313,110
198601,1139,-64
198701,1196,-7
198801,1295,92
198901,1057,-146
199001,932,-271
199101,1158,-45
199201,1111,-92
199301,1082,-121
199401,1400,197
199501,988,-215
199601,1208,5
199701,1155,-48
199801,963,-240
199901,1134,-69
200001,1222,19
200101,1191,-12
200201,960,-243
200301,1321,118
200401,1409,206
200501,1234,31
200601,948,-255
200701,1022,-181
200801,1066,-137
200901,1336,133
201001,1158,-45
201101,1273,70
201201,1006,-197
201301,1096,-107
201401,1258,55
201501,1260,57
