South Dakota, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,150,50
189606,86,-14
189706,115,15
189806,88,-12
189906,108,8
190006,57,-43
190106,106,6
190206,159,59
190306,133,33
190406,137,37
190506,138,38
190606,139,39
190706,129,29
190806,140,40
190906,90,-10
191006,74,-26
191106,30,-70
191206,126,26
191306,54,-46
191406,73,-27
191506,192,92
191606,178,78
191706,151,51
191806,66,-34
191906,65,-35
192006,111,11
192106,35,-65
192206,65,-35
192306,83,-17
192406,152,52
192506,103,3
192606,110,10
192706,129,29
192806,186,86
192906,124,24
193006,110,10
193106,24,-76
193206,66,-34
193306,17,-83
193406,50,-50
193506,140,40
193606,48,-52
193706,116,16
193806,74,-26
193906,93,-7
194006,76,-24
194106,93,-7
194206,125,25
194306,103,3
194406,113,13
194506,218,118
194606,87,-13
194706,159,59
194806,123,23
194906,76,-24
195006,99,-1
195106,207,107
195206,49,-51
195306,66,-34
195406,98,-2
195506,131,31
195606,29,-71
195706,128,28
195806,148,48
195906,43,-57
196006,119,19
196106,62,-38
196206,112,12
196306,54,-46
196406,87,-13
196506,104,4
196606,82,-18
196706,136,36
196806,86,-14
196906,183,83
197006,63,-37
197106,56,-44
197206,85,-15
197306,77,-23
197406,92,-8
197506,105,5
197606,69,-31
197706,53,-47
197806,88,-12
197906,94,-6
198006,64,-36
198106,84,-16
198206,167,67
198306,114,14
198406,93,-7
198506,138,38
198606,56,-44
198706,50,-50
198806,15,-85
198906,108,8
199006,69,-31
199106,49,-51
199206,125,25
199306,154,54
199406,67,-33
199506,96,-4
199606,70,-30
199706,66,-34
199806,158,58
199906,105,5
200006,108,8
200106,87,-13
200206,43,-57
200306,123,23
200406,148,48
200506,63,-37
200606,56,-44
200706,61,-39
200806,118,18
200906,128,28
201006,88,-12
201106,103,3
201206,40,-60
201306,98,-2
201406,110,10
201506,68,-32
