Wyoming, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1482,138
189612,1137,-207
189712,1484,140
189812,1539,195
189912,1434,90
190012,1231,-113
190112,1373,29
190212,1398,54
190312,1293,-51
190412,1282,-62
190512,1405,61
190612,1166,-178
190712,1323,-21
190812,1399,55
190912,1709,365
191012,1277,-67
191112,1490,146
191212,1386,42
191312,1508,164
191412,1598,254
191512,1318,-26
191612,1592,248
191712,1248,-96
191812,1329,-15
191912,1495,151
192012,1356,12
192112,1309,-35
192212,1395,51
192312,1404,60
192412,1572,228
192512,1265,-79
192612,1392,48
192712,1579,235
192812,1461,117
192912,1214,-130
193012,1372,28
193112,1375,31
193212,1638,294
193312,1093,-251
193412,1284,-60
193512,1327,-17
193612,1273,-71
193712,1321,-23
193812,1291,-53
193912,1081,-263
194012,1238,-106
194112,1247,-97
194212,1257,-87
194312,1285,-59
194412,1417,73
194512,1429,85
194612,1160,-184
194712,1306,-38
194812,1446,102
194912,1350,6
195012,1172,-172
195112,1460,116
195212,1287,-57
195312,1307,-37
195412,1269,-75
195512,1290,-54
195612,1242,-102
195712,1147,-197
195812,1240,-104
195912,1197,-147
196012,1362,18
196112,1445,101
196212,1200,-144
196312,1366,22
196412,1371,27
196512,1231,-113
196612,1320,-24
196712,1506,162
196812,1449,105
196912,1248,-96
197012,1352,8
197112,1394,50
197212,1551,207
197312,1258,-86
197412,1346,2
197512,1213,-131
197612,1255,-89
197712,1284,-60
197812,1631,287
197912,1190,-154
198012,1050,-294
198112,1231,-113
198212,1336,-8
198312,1709,365
198412,1419,75
198512,1429,85
198612,1293,-51
198712,1353,9
198812,1315,-29
198912,1392,48
199012,1579,235
199112,1276,-68
199212,1475,131
199312,1271,-73
199412,1196,-148
199512,1221,-123
199612,1314,-30
199712,1328,-16
199812,1324,-20
199912,1195,-149
200012,1405,61
200112,1315,-29
200212,1206,-138
200312,1212,-132
200412,1186,-158
200512,1343,-1
200612,1249,-95
200712,1427,83
200812,1402,58
200912,1537,193
201012,1242,-102
201112,1336,-8
201212,1297,-47
201312,1418,74
201412,1223,-121
201512,1314,-30
