Indiana, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,374,-73
189604,251,-196
189704,487,40
189804,510,63
189904,359,-88
190004,418,-29
190104,534,87
190204,484,37
190304,441,-6
190404,604,157
190504,457,10
190604,377,-70
190704,710,263
190804,429,-18
190904,502,55
191004,419,-28
191104,515,68
191204,398,-49
191304,457,10
191404,449,2
191504,294,-153
191604,490,43
191704,502,55
191804,525,78
191904,445,-2
192004,594,147
192104,336,-111
192204,386,-61
192304,500,53
192404,433,-14
192504,300,-147
192604,633,186
192704,437,-10
192804,567,120
192904,363,-84
193004,390,-57
193104,430,-17
193204,459,12
193304,456,9
193404,447,0
193504,527,80
193604,574,127
193704,473,26
193804,380,-67
193904,551,104
194004,538,91
194104,301,-146
194204,327,-120
194304,522,75
194404,488,41
194504,393,-54
194604,387,-60
194704,454,7
194804,329,-118
194904,475,28
195004,606,159
195104,521,74
195204,427,-20
195304,544,97
195404,292,-155
195504,269,-178
195604,507,60
195704,398,-49
195804,416,-31
195904,413,-34
196004,337,-110
196104,600,153
196204,476,29
196304,383,-64
196404,375,-72
196504,423,-24
196604,512,65
196704,376,-71
196804,390,-57
196904,393,-54
197004,389,-58
197104,473,26
197204,473,26
197304,452,5
197404,378,-69
197504,559,112
197604,372,-75
197704,293,-154
197804,425,-22
197904,506,59
198004,507,60
198104,310,-137
198204,577,130
198304,551,104
198404,489,42
198504,281,-166
198604,346,-101
198704,416,-31
198804,445,-2
198904,466,19
199004,450,3
199104,326,-121
199204,458,11
199304,485,38
199404,381,-66
199504,457,10
199604,518,71
199704,555,108
199804,387,-60
199904,356,-91
200004,448,1
200104,278,-169
200204,365,-82
200304,370,-77
200404,362,-85
200504,345,-102
200604,302,-145
200704,479,32
200804,391,-56
200904,420,-27
201004,254,-193
201104,383,-64
201204,382,-65
201304,442,-5
201404,396,-51
201504,383,-64
