Washington, Heating Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,129,27
189608,106,4
189708,53,-49
189808,65,-37
189908,184,82
190008,150,48
190108,76,-26
190208,112,10
190308,118,16
190408,104,2
190508,112,10
190608,94,-8
190708,160,58
190808,118,16
190908,154,52
191008,180,78
191108,129,27
191208,136,34
191308,82,-20
191408,105,3
191508,56,-46
191608,108,6
191708,82,-20
191808,119,17
191908,110,8
192008,90,-12
192108,121,19
192208,109,7
192308,67,-35
192408,124,22
192508,116,14
192608,100,-2
192708,83,-19
192808,118,16
192908,90,-12
193008,79,-23
193108,106,4
193208,110,8
193308,77,-25
193408,83,-19
193508,116,14
193608,82,-20
193708,133,31
193808,146,44
193908,77,-25
194008,86,-16
194108,94,-8
194208,57,-45
194308,128,26
194408,114,12
194508,100,-2
194608,101,-1
194708,128,26
194808,142,40
194908,117,15
195008,87,-15
195108,119,17
195208,96,-6
195308,94,-8
195408,166,64
195508,145,43
195608,101,-1
195708,139,37
195808,52,-50
195908,141,39
196008,133,31
196108,46,-56
196208,127,25
196308,96,-6
196408,153,51
196508,82,-20
196608,105,3
196708,32,-70
196808,132,30
196908,150,48
197008,107,5
197108,52,-50
197208,74,-28
197308,157,55
197408,85,-17
197508,159,57
197608,153,51
197708,44,-58
197808,103,1
197908,87,-15
198008,142,40
198108,43,-59
198208,97,-5
198308,76,-26
198408,90,-12
198508,99,-3
198608,39,-63
198708,84,-18
198808,92,-10
198908,109,7
199008,55,-47
199108,64,-38
199208,67,-35
199308,93,-9
199408,71,-31
199508,147,45
199608,71,-31
199708,44,-58
199808,53,-49
199908,72,-30
200008,107,5
200108,76,-26
200208,85,-17
200308,62,-40
200408,42,-60
200508,59,-43
200608,88,-14
200708,96,-6
200808,81,-21
200908,75,-27
201008,88,-14
201108,81,-21
201208,58,-44
201308,50,-52
201408,37,-65
201508,47,-55
