Colorado, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1355,97
189601,1137,-121
189701,1352,94
189801,1351,93
189901,1329,71
190001,1113,-145
190101,1205,-53
190201,1254,-4
190301,1192,-66
190401,1297,39
190501,1292,34
190601,1160,-98
190701,1203,-55
190801,1206,-52
190901,1144,-114
191001,1260,2
191101,1069,-189
191201,1329,71
191301,1353,95
191401,1170,-88
191501,1352,94
191601,1401,143
191701,1383,125
191801,1452,194
191901,1314,56
192001,1158,-100
192101,1185,-73
192201,1415,157
192301,1079,-179
192401,1397,139
192501,1391,133
192601,1326,68
192701,1154,-104
192801,1140,-118
192901,1353,95
193001,1647,389
193101,1203,-55
193201,1398,140
193301,1200,-58
193401,1061,-197
193501,1078,-180
193601,1262,4
193701,1642,384
193801,1209,-49
193901,1211,-47
194001,1450,192
194101,1208,-50
194201,1368,110
194301,1185,-73
194401,1274,16
194501,1205,-53
194601,1232,-26
194701,1252,-6
194801,1313,55
194901,1576,318
195001,1267,9
195101,1306,48
195201,1193,-65
195301,1007,-251
195401,1107,-151
195501,1341,83
195601,1121,-137
195701,1355,97
195801,1211,-47
195901,1250,-8
196001,1329,71
196101,1219,-39
196201,1472,214
196301,1511,253
196401,1247,-11
196501,1107,-151
196601,1351,93
196701,1144,-114
196801,1240,-18
196901,1117,-141
197001,1217,-41
197101,1193,-65
197201,1248,-10
197301,1360,102
197401,1378,120
197501,1239,-19
197601,1229,-29
197701,1325,67
197801,1322,64
197901,1564,306
198001,1315,57
198101,1061,-197
198201,1242,-16
198301,1119,-139
198401,1363,105
198501,1349,91
198601,995,-263
198701,1209,-49
198801,1405,147
198901,1171,-87
199001,1144,-114
199101,1296,38
199201,1198,-60
199301,1293,35
199401,1152,-106
199501,1160,-98
199601,1258,0
199701,1247,-11
199801,1112,-146
199901,1074,-184
200001,1096,-162
200101,1215,-43
200201,1203,-55
200301,1006,-252
200401,1162,-96
200501,1076,-182
200601,1032,-226
200701,1425,167
200801,1342,84
200901,1106,-152
201001,1183,-75
201101,1242,-16
201201,1072,-186
201301,1247,-11
201401,1178,-80
201501,1104,-154
