New Mexico, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,163,-1
189605,108,-56
189705,108,-56
189805,156,-8
189905,175,11
190005,128,-36
190105,134,-30
190205,140,-24
190305,195,31
190405,152,-12
190505,176,12
190605,166,2
190705,277,113
190805,233,69
190905,223,59
191005,123,-41
191105,144,-20
191205,167,3
191305,141,-23
191405,155,-9
191505,236,72
191605,174,10
191705,321,157
191805,192,28
191905,158,-6
192005,160,-4
192105,164,0
192205,142,-22
192305,142,-22
192405,159,-5
192505,102,-62
192605,189,25
192705,112,-52
192805,157,-7
192905,176,12
193005,225,61
193105,189,25
193205,177,13
193305,228,64
193405,77,-87
193505,252,88
193605,123,-41
193705,129,-35
193805,176,12
193905,132,-32
194005,134,-30
194105,150,-14
194205,178,14
194305,139,-25
194405,182,18
194505,137,-27
194605,184,20
194705,117,-47
194805,133,-31
194905,159,-5
195005,170,6
195105,143,-21
195205,147,-17
195305,243,79
195405,134,-30
195505,184,20
195605,102,-62
195705,229,65
195805,112,-52
195905,154,-10
196005,177,13
196105,136,-28
196205,151,-13
196305,102,-62
196405,142,-22
196505,192,28
196605,117,-47
196705,189,25
196805,184,20
196905,142,-22
197005,153,-11
197105,204,40
197205,176,12
197305,202,38
197405,100,-64
197505,239,75
197605,184,20
197705,174,10
197805,184,20
197905,199,35
198005,214,50
198105,163,-1
198205,196,32
198305,232,68
198405,86,-78
198505,154,-10
198605,165,1
198705,195,31
198805,169,5
198905,97,-67
199005,172,8
199105,151,-13
199205,171,7
199305,152,-12
199405,139,-25
199505,194,30
199605,60,-104
199705,130,-34
199805,137,-27
199905,167,3
200005,68,-96
200105,102,-62
200205,113,-51
200305,103,-61
200405,108,-56
200505,126,-38
200605,77,-87
200705,161,-3
200805,163,-1
200905,91,-73
201005,167,3
201105,181,17
201205,101,-63
201305,133,-31
201405,167,3
201505,199,35
