North Dakota, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,202,68
189606,101,-33
189706,156,22
189806,144,10
189906,145,11
190006,72,-62
190106,152,18
190206,232,98
190306,145,11
190406,166,32
190506,198,64
190606,143,9
190706,143,9
190806,168,34
190906,120,-14
191006,71,-63
191106,70,-64
191206,150,16
191306,85,-49
191406,136,2
191506,256,122
191606,228,94
191706,194,60
191806,132,-2
191906,67,-67
192006,140,6
192106,55,-79
192206,104,-30
192306,82,-52
192406,209,75
192506,159,25
192606,175,41
192706,153,19
192806,218,84
192906,155,21
193006,123,-11
193106,57,-77
193206,70,-64
193306,32,-102
193406,109,-25
193506,176,42
193606,82,-52
193706,128,-6
193806,114,-20
193906,178,44
194006,132,-2
194106,107,-27
194206,180,46
194306,174,40
194406,144,10
194506,235,101
194606,124,-10
194706,192,58
194806,139,5
194906,118,-16
195006,142,8
195106,220,86
195206,98,-36
195306,132,-2
195406,159,25
195506,144,10
195606,54,-80
195706,168,34
195806,217,83
195906,82,-52
196006,156,22
196106,56,-78
196206,117,-17
196306,78,-56
196406,142,8
196506,139,5
196606,120,-14
196706,154,20
196806,159,25
196906,258,124
197006,67,-67
197106,98,-36
197206,105,-29
197306,112,-22
197406,114,-20
197506,129,-5
197606,86,-48
197706,95,-39
197806,124,-10
197906,120,-14
198006,105,-29
198106,166,32
198206,207,73
198306,128,-6
198406,122,-12
198506,219,85
198606,88,-46
198706,63,-71
198806,16,-118
198906,142,8
199006,107,-27
199106,78,-56
199206,162,28
199306,207,73
199406,110,-24
199506,75,-59
199606,93,-41
199706,68,-66
199806,184,50
199906,132,-2
200006,176,42
200106,131,-3
200206,85,-49
200306,140,6
200406,200,66
200506,96,-38
200606,90,-44
200706,89,-45
200806,167,33
200906,165,31
201006,125,-9
201106,136,2
201206,87,-47
201306,119,-15
201406,132,-2
201506,96,-38
