New York, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,226,-40
189605,152,-114
189705,273,7
189805,300,34
189905,249,-17
190005,282,16
190105,307,41
190205,291,25
190305,203,-63
190405,192,-74
190505,275,9
190605,258,-8
190705,431,165
190805,222,-44
190905,295,29
191005,301,35
191105,140,-126
191205,242,-24
191305,298,32
191405,209,-57
191505,365,99
191605,271,5
191705,492,226
191805,158,-108
191905,264,-2
192005,343,77
192105,248,-18
192205,196,-70
192305,333,67
192405,396,130
192505,362,96
192605,324,58
192705,346,80
192805,324,58
192905,289,23
193005,219,-47
193105,254,-12
193205,253,-13
193305,192,-74
193405,212,-54
193505,365,99
193605,194,-72
193705,212,-54
193805,304,38
193905,209,-57
194005,275,9
194105,221,-45
194205,180,-86
194305,261,-5
194405,139,-127
194505,354,88
194605,293,27
194705,298,32
194805,313,47
194905,239,-27
195005,310,44
195105,230,-36
195205,316,50
195305,217,-49
195405,319,53
195505,180,-86
195605,362,96
195705,256,-10
195805,346,80
195905,183,-83
196005,231,-35
196105,333,67
196205,214,-52
196305,303,37
196405,183,-83
196505,175,-91
196605,371,105
196705,462,196
196805,332,66
196905,265,-1
197005,228,-38
197105,315,49
197205,238,-28
197305,327,61
197405,321,55
197505,157,-109
197605,304,38
197705,183,-83
197805,272,6
197905,216,-50
198005,206,-60
198105,230,-36
198205,204,-62
198305,324,58
198405,311,45
198505,201,-65
198605,175,-91
198705,228,-38
198805,229,-37
198905,247,-19
199005,320,54
199105,125,-141
199205,274,8
199305,217,-49
199405,300,34
199505,283,17
199605,301,35
199705,357,91
199805,151,-115
199905,205,-61
200005,213,-53
200105,204,-62
200205,316,50
200305,304,38
200405,168,-98
200505,353,87
200605,226,-40
200705,196,-70
200805,318,52
200905,236,-30
201005,154,-112
201105,172,-94
201205,131,-135
201305,210,-56
201405,200,-66
201505,120,-146
