Indiana, Heating Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,590,226
189610,496,132
189710,251,-113
189810,398,34
189910,258,-106
190010,191,-173
190110,350,-14
190210,323,-41
190310,377,13
190410,415,51
190510,397,33
190610,407,43
190710,490,126
190810,378,14
190910,527,163
191010,313,-51
191110,400,36
191210,367,3
191310,388,24
191410,295,-69
191510,332,-32
191610,385,21
191710,616,252
191810,300,-64
191910,236,-128
192010,229,-135
192110,375,11
192210,300,-64
192310,456,92
192410,260,-104
192510,623,259
192610,382,18
192710,273,-91
192810,288,-76
192910,444,80
193010,441,77
193110,271,-93
193210,385,21
193310,414,50
193410,328,-36
193510,365,1
193610,381,17
193710,454,90
193810,286,-78
193910,315,-49
194010,281,-83
194110,270,-94
194210,355,-9
194310,405,41
194410,384,20
194510,430,66
194610,260,-104
194710,182,-182
194810,459,95
194910,253,-111
195010,254,-110
195110,299,-65
195210,511,147
195310,273,-91
195410,328,-36
195510,349,-15
195610,230,-134
195710,462,98
195810,351,-13
195910,381,17
196010,360,-4
196110,325,-39
196210,299,-65
196310,181,-183
196410,467,103
196510,395,31
196610,467,103
196710,390,26
196810,367,3
196910,387,23
197010,331,-33
197110,179,-185
197210,467,103
197310,251,-113
197410,420,56
197510,330,-34
197610,538,174
197710,444,80
197810,438,74
197910,381,17
198010,464,100
198110,438,74
198210,338,-26
198310,332,-32
198410,238,-126
198510,286,-78
198610,332,-32
198710,554,190
198810,565,201
198910,351,-13
199010,393,29
199110,293,-71
199210,409,45
199310,441,77
199410,324,-40
199510,326,-38
199610,345,-19
199710,369,5
199810,309,-55
199910,367,3
200010,268,-96
200110,366,2
200210,407,43
200310,393,29
200410,340,-24
200510,323,-41
200610,442,78
200710,193,-171
200810,367,3
200910,460,96
201010,302,-62
201110,360,-4
201210,413,49
201310,348,-16
201410,366,2
201510,313,-51
