Indiana, Heating Degree Days, November
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189511,775,48
189611,686,-41
189711,740,13
189811,856,129
189911,647,-80
190011,741,14
190111,842,115
190211,518,-209
190311,860,133
190411,751,24
190511,766,39
190611,766,39
190711,833,106
190811,706,-21
190911,490,-237
191011,904,177
191111,899,172
191211,740,13
191311,601,-126
191411,704,-23
191511,648,-79
191611,688,-39
191711,754,27
191811,720,-7
191911,763,36
192011,775,48
192111,698,-29
192211,672,-55
192311,722,-5
192411,732,5
192511,806,79
192611,832,105
192711,604,-123
192811,713,-14
192911,860,133
193011,722,-5
193111,490,-237
193211,873,146
193311,795,68
193411,620,-107
193511,757,30
193611,853,126
193711,847,120
193811,664,-63
193911,788,61
194011,801,74
194111,697,-30
194211,664,-63
194311,831,104
194411,691,-36
194511,702,-25
194611,615,-112
194711,862,135
194811,620,-107
194911,724,-3
195011,897,170
195111,944,217
195211,691,-36
195311,683,-44
195411,730,3
195511,835,108
195611,738,11
195711,742,15
195811,666,-61
195911,887,160
196011,689,-38
196111,726,-1
196211,738,11
196311,629,-98
196411,628,-99
196511,667,-60
196611,689,-38
196711,843,116
196811,694,-33
196911,826,99
197011,747,20
197111,705,-22
197211,799,72
197311,639,-88
197411,696,-31
197511,567,-160
197611,946,219
197711,668,-59
197811,644,-83
197911,719,-8
198011,760,33
198111,675,-52
198211,662,-65
198311,629,-98
198411,738,11
198511,592,-135
198611,791,64
198711,589,-138
198811,679,-48
198911,743,16
199011,559,-168
199111,802,75
199211,699,-28
199311,730,3
199411,554,-173
199511,871,144
199611,891,164
199711,803,76
199811,612,-115
199911,531,-196
200011,748,21
200111,488,-239
200211,763,36
200311,580,-147
200411,585,-142
200511,625,-102
200611,632,-95
200711,703,-24
200811,744,17
200911,572,-155
201011,676,-51
201111,551,-176
201211,756,29
201311,783,56
201411,895,168
201511,566,-161
