Minnesota, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1245,59
189603,1375,189
189703,1396,210
189803,1103,-83
189903,1625,439
190003,1335,149
190103,1239,53
190203,1014,-172
190303,1124,-62
190403,1289,103
190503,1031,-155
190603,1432,246
190703,1190,4
190803,1215,29
190903,1237,51
191003,770,-416
191103,1018,-168
191203,1421,235
191303,1379,193
191403,1204,18
191503,1226,40
191603,1336,150
191703,1279,93
191803,957,-229
191903,1217,31
192003,1185,-1
192103,1110,-76
192203,1165,-21
192303,1481,295
192403,1192,6
192503,1075,-111
192603,1335,149
192703,1044,-142
192803,1161,-25
192903,1093,-93
193003,1157,-29
193103,1156,-30
193203,1448,262
193303,1195,9
193403,1263,77
193503,1119,-67
193603,1208,22
193703,1324,138
193803,967,-219
193903,1254,68
194003,1377,191
194103,1265,79
194203,1011,-175
194303,1422,236
194403,1319,133
194503,920,-266
194603,856,-330
194703,1249,63
194803,1300,114
194903,1249,63
195003,1386,200
195103,1439,253
195203,1323,137
195303,1157,-29
195403,1263,77
195503,1371,185
195603,1338,152
195703,1225,39
195803,1116,-70
195903,1112,-74
196003,1478,292
196103,1014,-172
196203,1240,54
196303,1041,-145
196403,1314,128
196503,1522,336
196603,1029,-157
196703,1170,-16
196803,920,-266
196903,1366,180
197003,1349,163
197103,1257,71
197203,1289,103
197303,879,-307
197403,1221,35
197503,1397,211
197603,1174,-12
197703,948,-238
197803,1201,15
197903,1252,66
198003,1305,119
198103,957,-229
198203,1240,54
198303,1072,-114
198403,1323,137
198503,987,-199
198603,1054,-132
198703,937,-249
198803,1100,-86
198903,1299,113
199003,1027,-159
199103,1071,-115
199203,1073,-113
199303,1197,11
199403,1055,-131
199503,1070,-116
199603,1362,176
199703,1201,15
199803,1117,-69
199903,1037,-149
200003,856,-330
200103,1235,49
200203,1364,178
200303,1166,-20
200403,1012,-174
200503,1166,-20
200603,1055,-131
200703,987,-199
200803,1250,64
200903,1154,-32
201003,870,-316
201103,1238,52
201203,682,-504
201303,1331,145
201403,1369,183
201503,1041,-145
