Colorado, Heating Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,62,9
189608,48,-5
189708,66,13
189808,30,-23
189908,57,4
190008,49,-4
190108,35,-18
190208,44,-9
190308,52,-1
190408,65,12
190508,41,-12
190608,75,22
190708,66,13
190808,83,30
190908,31,-22
191008,56,3
191108,76,23
191208,79,26
191308,29,-24
191408,61,8
191508,132,79
191608,81,28
191708,107,54
191808,62,9
191908,37,-16
192008,112,59
192108,63,10
192208,26,-27
192308,90,37
192408,56,3
192508,87,34
192608,47,-6
192708,136,83
192808,82,29
192908,43,-10
193008,55,2
193108,49,-4
193208,37,-16
193308,65,12
193408,24,-29
193508,32,-21
193608,29,-24
193708,16,-37
193808,26,-27
193908,52,-1
194008,49,-4
194108,55,2
194208,52,-1
194308,23,-30
194408,38,-15
194508,45,-8
194608,52,-1
194708,29,-24
194808,45,-8
194908,52,-1
195008,92,39
195108,61,8
195208,42,-11
195308,61,8
195408,42,-11
195508,27,-26
195608,84,31
195708,45,-8
195808,26,-27
195908,34,-19
196008,38,-15
196108,40,-13
196208,52,-1
196308,48,-5
196408,71,18
196508,86,33
196608,66,13
196708,79,26
196808,96,43
196908,19,-34
197008,21,-32
197108,38,-15
197208,62,9
197308,35,-18
197408,93,40
197508,55,2
197608,65,12
197708,53,0
197808,68,15
197908,74,21
198008,44,-9
198108,61,8
198208,25,-28
198308,14,-39
198408,35,-18
198508,41,-12
198608,44,-9
198708,67,14
198808,25,-28
198908,59,6
199008,55,2
199108,45,-8
199208,84,31
199308,72,19
199408,20,-33
199508,13,-40
199608,40,-13
199708,55,2
199808,35,-18
199908,44,-9
200008,12,-41
200108,27,-26
200208,34,-19
200308,16,-37
200408,88,35
200508,53,0
200608,40,-13
200708,14,-39
200808,46,-7
200908,61,8
201008,29,-24
201108,12,-41
201208,19,-34
201308,24,-29
201408,61,8
201508,28,-25
