California, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,64,-5
189606,37,-32
189706,60,-9
189806,55,-14
189906,70,1
190006,45,-24
190106,72,3
190206,59,-10
190306,61,-8
190406,54,-15
190506,101,32
190606,92,23
190706,117,48
190806,127,58
190906,86,17
191006,101,32
191106,110,41
191206,83,14
191306,106,37
191406,85,16
191506,69,0
191606,98,29
191706,48,-21
191806,18,-51
191906,62,-7
192006,77,8
192106,61,-8
192206,51,-18
192306,149,80
192406,48,-21
192506,52,-17
192606,32,-37
192706,75,6
192806,67,-2
192906,64,-5
193006,60,-9
193106,59,-10
193206,64,-5
193306,96,27
193406,102,33
193506,52,-17
193606,45,-24
193706,57,-12
193806,67,-2
193906,67,-2
194006,39,-30
194106,88,19
194206,78,9
194306,112,43
194406,131,62
194506,77,8
194606,71,2
194706,66,-3
194806,82,13
194906,48,-21
195006,90,21
195106,76,7
195206,132,63
195306,117,48
195406,88,19
195506,89,20
195606,59,-10
195706,27,-42
195806,63,-6
195906,37,-32
196006,25,-44
196106,31,-38
196206,75,6
196306,97,28
196406,93,24
196506,131,62
196606,55,-14
196706,105,36
196806,52,-17
196906,88,19
197006,55,-14
197106,84,15
197206,44,-25
197306,29,-40
197406,41,-28
197506,81,12
197606,52,-17
197706,44,-25
197806,49,-20
197906,41,-28
198006,95,26
198106,13,-56
198206,102,33
198306,68,-1
198406,55,-14
198506,26,-43
198606,36,-33
198706,40,-29
198806,68,-1
198906,49,-20
199006,40,-29
199106,97,28
199206,50,-19
199306,45,-24
199406,33,-36
199506,81,12
199606,36,-33
199706,52,-17
199806,98,29
199906,75,6
200006,22,-47
200106,26,-43
200206,37,-32
200306,44,-25
200406,44,-25
200506,84,15
200606,15,-54
200706,39,-30
200806,26,-43
200906,68,-1
201006,55,-14
201106,80,11
201206,51,-18
201306,22,-47
201406,25,-44
201506,12,-57
