New York, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1301,208
189602,1100,7
189702,1080,-13
189802,1045,-48
189902,1216,123
190002,1126,33
190102,1293,200
190202,1181,88
190302,1041,-52
190402,1311,218
190502,1322,229
190602,1117,24
190702,1318,225
190802,1219,126
190902,977,-116
191002,1147,54
191102,1123,30
191202,1214,121
191302,1160,67
191402,1313,220
191502,989,-104
191602,1226,133
191702,1231,138
191802,1178,85
191902,1015,-78
192002,1204,111
192102,1026,-67
192202,1044,-49
192302,1269,176
192402,1219,126
192502,923,-170
192602,1176,83
192702,979,-114
192802,1083,-10
192902,1105,12
193002,984,-109
193102,1064,-29
193202,989,-104
193302,1010,-83
193402,1460,367
193502,1123,30
193602,1290,197
193702,992,-101
193802,992,-101
193902,1009,-84
194002,1110,17
194102,1124,31
194202,1169,76
194302,1064,-29
194402,1095,2
194502,1074,-19
194602,1122,29
194702,1161,68
194802,1178,85
194902,926,-167
195002,1118,25
195102,998,-95
195202,992,-101
195302,928,-165
195402,887,-206
195502,1045,-48
195602,994,-99
195702,960,-133
195802,1223,130
195902,1142,49
196002,979,-114
196102,1035,-58
196202,1159,66
196302,1247,154
196402,1116,23
196502,1095,2
196602,1069,-24
196702,1183,90
196802,1195,102
196902,1085,-8
197002,1084,-9
197102,1043,-50
197202,1145,52
197302,1116,23
197402,1122,29
197502,1008,-85
197602,905,-188
197702,1072,-21
197802,1286,193
197902,1346,253
198002,1168,75
198102,897,-196
198202,1057,-36
198302,996,-97
198402,865,-228
198502,1031,-62
198602,1109,16
198702,1115,22
198802,1053,-40
198902,1071,-22
199002,922,-171
199102,907,-186
199202,991,-102
199302,1202,109
199402,1189,96
199502,1129,36
199602,1055,-38
199702,894,-199
199802,852,-241
199902,938,-155
200002,961,-132
200102,990,-103
200202,869,-224
200302,1160,67
200402,1045,-48
200502,1001,-92
200602,987,-106
200702,1193,100
200802,998,-95
200902,978,-115
201002,1017,-76
201102,1043,-50
201202,847,-246
201302,1018,-75
201402,1134,41
201502,1382,289
