Virginia, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,853,-20
189612,910,37
189712,825,-48
189812,899,26
189912,899,26
190012,891,18
190112,959,86
190212,915,42
190312,1053,180
190412,1017,144
190512,886,13
190612,858,-15
190712,852,-21
190812,843,-30
190912,1040,167
191012,1096,223
191112,765,-108
191212,817,-56
191312,794,-79
191412,1006,133
191512,952,79
191612,923,50
191712,1190,317
191812,760,-113
191912,994,121
192012,840,-33
192112,826,-47
192212,800,-73
192312,647,-226
192412,871,-2
192512,908,35
192612,942,69
192712,848,-25
192812,866,-7
192912,836,-37
193012,975,102
193112,636,-237
193212,805,-68
193312,760,-113
193412,885,12
193512,1087,214
193612,840,-33
193712,909,36
193812,877,4
193912,832,-41
194012,741,-132
194112,765,-108
194212,963,90
194312,903,30
194412,1002,129
194512,1052,179
194612,738,-135
194712,910,37
194812,799,-74
194912,790,-83
195012,994,121
195112,815,-58
195212,872,-1
195312,808,-65
195412,924,51
195512,1016,143
195612,605,-268
195712,784,-89
195812,1053,180
195912,803,-70
196012,1073,200
196112,915,42
196212,1026,153
196312,1112,239
196412,786,-87
196512,794,-79
196612,918,45
196712,811,-62
196812,954,81
196912,977,104
197012,828,-45
197112,624,-249
197212,709,-164
197312,840,-33
197412,810,-63
197512,861,-12
197612,986,113
197712,913,40
197812,788,-85
197912,798,-75
198012,887,14
198112,965,92
198212,684,-189
198312,956,83
198412,615,-258
198512,941,68
198612,841,-32
198712,773,-100
198812,879,6
198912,1187,314
199012,687,-186
199112,737,-136
199212,849,-24
199312,912,39
199412,700,-173
199512,965,92
199612,758,-115
199712,823,-50
199812,681,-192
199912,776,-97
200012,1072,199
200112,662,-211
200212,900,27
200312,858,-15
200412,814,-59
200512,921,48
200612,666,-207
200712,738,-135
200812,767,-106
200912,897,24
201012,1061,188
201112,688,-185
201212,680,-193
201312,762,-111
201412,749,-124
201512,483,-390
