Utah, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,580,-72
189604,750,98
189704,683,31
189804,553,-99
189904,641,-11
190004,682,30
190104,682,30
190204,639,-13
190304,698,46
190404,626,-26
190504,616,-36
190604,644,-8
190704,600,-52
190804,595,-57
190904,756,104
191004,523,-129
191104,684,32
191204,768,116
191304,608,-44
191404,582,-70
191504,483,-169
191604,589,-63
191704,786,134
191804,722,70
191904,594,-58
192004,818,166
192104,740,88
192204,828,176
192304,705,53
192404,676,24
192504,601,-51
192604,526,-126
192704,680,28
192804,720,68
192904,752,100
193004,473,-179
193104,598,-54
193204,637,-15
193304,747,95
193404,457,-195
193504,648,-4
193604,563,-89
193704,709,57
193804,607,-45
193904,529,-123
194004,599,-53
194104,732,80
194204,615,-37
194304,455,-197
194404,738,86
194504,777,125
194604,504,-148
194704,680,28
194804,653,1
194904,525,-127
195004,642,-10
195104,616,-36
195204,629,-23
195304,732,80
195404,535,-117
195504,746,94
195604,638,-14
195704,700,48
195804,742,90
195904,603,-49
196004,606,-46
196104,669,17
196204,545,-107
196304,759,107
196404,727,75
196504,635,-17
196604,654,2
196704,766,114
196804,789,137
196904,627,-25
197004,824,172
197104,683,31
197204,672,20
197304,766,114
197404,706,54
197504,856,204
197604,684,32
197704,557,-95
197804,648,-4
197904,668,16
198004,623,-29
198104,542,-110
198204,759,107
198304,813,161
198404,756,104
198504,540,-112
198604,656,4
198704,494,-158
198804,580,-72
198904,503,-149
199004,518,-134
199104,729,77
199204,442,-210
199304,681,29
199404,586,-66
199504,697,45
199604,647,-5
199704,735,83
199804,696,44
199904,760,108
200004,501,-151
200104,615,-37
200204,561,-91
200304,635,-17
200404,569,-83
200504,636,-16
200604,566,-86
200704,565,-87
200804,757,105
200904,661,9
201004,682,30
201104,745,93
201204,530,-122
201304,693,41
201404,626,-26
201504,592,-60
