Arizona, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,117,-24
189604,168,27
189704,121,-20
189804,75,-66
189904,119,-22
190004,211,70
190104,183,42
190204,104,-37
190304,161,20
190404,122,-19
190504,179,38
190604,170,29
190704,113,-28
190804,123,-18
190904,144,3
191004,97,-44
191104,141,0
191204,222,81
191304,147,6
191404,113,-28
191504,153,12
191604,121,-20
191704,185,44
191804,146,5
191904,109,-32
192004,229,88
192104,176,35
192204,222,81
192304,162,21
192404,197,56
192504,122,-19
192604,134,-7
192704,150,9
192804,151,10
192904,185,44
193004,86,-55
193104,100,-41
193204,143,2
193304,219,78
193404,67,-74
193504,137,-4
193604,90,-51
193704,152,11
193804,132,-9
193904,93,-48
194004,110,-31
194104,256,115
194204,163,22
194304,83,-58
194404,203,62
194504,178,37
194604,65,-76
194704,141,0
194804,112,-29
194904,102,-39
195004,80,-61
195104,147,6
195204,147,6
195304,154,13
195404,70,-71
195504,176,35
195604,156,15
195704,156,15
195804,163,22
195904,75,-66
196004,111,-30
196104,115,-26
196204,67,-74
196304,177,36
196404,176,35
196504,165,24
196604,105,-36
196704,224,83
196804,173,32
196904,120,-21
197004,224,83
197104,164,23
197204,112,-29
197304,199,58
197404,136,-5
197504,268,127
197604,170,29
197704,114,-27
197804,155,14
197904,143,2
198004,143,2
198104,80,-61
198204,129,-12
198304,237,96
198404,158,17
198504,83,-58
198604,100,-41
198704,74,-67
198804,126,-15
198904,45,-96
199004,86,-55
199104,156,15
199204,75,-66
199304,105,-36
199404,105,-36
199504,170,29
199604,83,-58
199704,134,-7
199804,213,72
199904,197,56
200004,64,-77
200104,122,-19
200204,62,-79
200304,152,11
200404,110,-31
200504,123,-18
200604,102,-39
200704,96,-45
200804,106,-35
200904,126,-15
201004,146,5
201104,89,-52
201204,78,-63
201304,90,-51
201404,90,-51
201504,104,-37
