Florida, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,213,-9
189601,299,77
189701,303,81
189801,189,-33
189901,193,-29
190001,279,57
190101,250,28
190201,308,86
190301,235,13
190401,282,60
190501,347,125
190601,221,-1
190701,144,-78
190801,246,24
190901,154,-68
191001,276,54
191101,178,-44
191201,241,19
191301,113,-109
191401,256,34
191501,252,30
191601,125,-97
191701,152,-70
191801,362,140
191901,256,34
192001,196,-26
192101,194,-28
192201,235,13
192301,187,-35
192401,210,-12
192501,146,-76
192601,260,38
192701,234,12
192801,293,71
192901,166,-56
193001,167,-55
193101,302,80
193201,122,-100
193301,171,-51
193401,194,-28
193501,216,-6
193601,214,-8
193701,70,-152
193801,229,7
193901,193,-29
194001,427,205
194101,248,26
194201,271,49
194301,185,-37
194401,258,36
194501,242,20
194601,188,-34
194701,102,-120
194801,260,38
194901,127,-95
195001,90,-132
195101,227,5
195201,166,-56
195301,208,-14
195401,181,-41
195501,249,27
195601,326,104
195701,149,-73
195801,364,142
195901,248,26
196001,226,4
196101,290,68
196201,216,-6
196301,241,19
196401,247,25
196501,218,-4
196601,270,48
196701,173,-49
196801,228,6
196901,229,7
197001,328,106
197101,218,-4
197201,111,-111
197301,196,-26
197401,69,-153
197501,136,-86
197601,292,70
197701,400,178
197801,328,106
197901,274,52
198001,213,-9
198101,426,204
198201,222,0
198301,262,40
198401,256,34
198501,324,102
198601,239,17
198701,242,20
198801,262,40
198901,116,-106
199001,130,-92
199101,135,-87
199201,238,16
199301,119,-103
199401,220,-2
199501,238,16
199601,234,12
199701,185,-37
199801,165,-57
199901,161,-61
200001,202,-20
200101,321,99
200201,186,-36
200301,339,117
200401,231,9
200501,177,-45
200601,166,-56
200701,146,-76
200801,197,-25
200901,229,7
201001,335,113
201101,261,39
201201,194,-28
201301,115,-107
201401,268,46
201501,192,-30
