Kansas, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,694,17
189603,828,151
189703,701,24
189803,690,13
189903,898,221
190003,732,55
190103,727,50
190203,627,-50
190303,685,8
190403,605,-72
190503,479,-198
190603,1008,331
190703,432,-245
190803,556,-121
190903,731,54
191003,338,-339
191103,585,-92
191203,1042,365
191303,814,137
191403,672,-5
191503,1002,325
191603,581,-96
191703,664,-13
191803,513,-164
191903,656,-21
192003,625,-52
192103,481,-196
192203,684,7
192303,760,83
192403,905,228
192503,548,-129
192603,762,85
192703,683,6
192803,585,-92
192903,580,-97
193003,711,34
193103,818,141
193203,898,221
193303,621,-56
193403,690,13
193503,468,-209
193603,532,-145
193703,810,133
193803,459,-218
193903,619,-58
194003,664,-13
194103,791,114
194203,652,-25
194303,817,140
194403,807,130
194503,483,-194
194603,408,-269
194703,838,161
194803,860,183
194903,704,27
195003,753,76
195103,817,140
195203,822,145
195303,578,-99
195403,743,66
195503,703,26
195603,640,-37
195703,704,27
195803,944,267
195903,636,-41
196003,1066,389
196103,651,-26
196203,773,96
196303,549,-128
196403,760,83
196503,977,300
196603,561,-116
196703,545,-132
196803,564,-113
196903,914,237
197003,816,139
197103,725,48
197203,546,-131
197303,570,-107
197403,557,-120
197503,825,148
197603,618,-59
197703,543,-134
197803,755,78
197903,654,-23
198003,777,100
198103,589,-88
198203,649,-28
198303,689,12
198403,819,142
198503,551,-126
198603,474,-203
198703,599,-78
198803,663,-14
198903,634,-43
199003,591,-86
199103,536,-141
199203,527,-150
199303,735,58
199403,547,-130
199503,640,-37
199603,820,143
199703,567,-110
199803,816,139
199903,673,-4
200003,555,-122
200103,740,63
200203,760,83
200303,641,-36
200403,502,-175
200503,621,-56
200603,581,-96
200703,386,-291
200803,674,-3
200903,621,-56
201003,632,-45
201103,624,-53
201203,297,-380
201303,772,95
201403,753,76
201503,575,-102
