Indiana, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1021,-70
189612,989,-102
189712,1112,21
189812,1190,99
189912,1139,48
190012,1053,-38
190112,1235,144
190212,1145,54
190312,1329,238
190412,1180,89
190512,1067,-24
190612,1044,-47
190712,1041,-50
190812,1039,-52
190912,1350,259
191012,1256,165
191112,957,-134
191212,1020,-71
191312,936,-155
191412,1274,183
191512,1136,45
191612,1186,95
191712,1383,292
191812,844,-247
191912,1292,201
192012,1036,-55
192112,988,-103
192212,1060,-31
192312,797,-294
192412,1234,143
192512,1193,102
192612,1167,76
192712,1103,12
192812,1007,-84
192912,1126,35
193012,1109,18
193112,834,-257
193212,1099,8
193312,970,-121
193412,1165,74
193512,1285,194
193612,981,-110
193712,1180,89
193812,1062,-29
193912,982,-109
194012,930,-161
194112,903,-188
194212,1220,129
194312,1156,65
194412,1261,170
194512,1296,205
194612,943,-148
194712,1071,-20
194812,1000,-91
194912,955,-136
195012,1323,232
195112,1118,27
195212,982,-109
195312,1029,-62
195412,1057,-34
195512,1173,82
195612,889,-202
195712,929,-162
195812,1325,234
195912,927,-164
196012,1253,162
196112,1140,49
196212,1240,149
196312,1433,342
196412,1088,-3
196512,887,-204
196612,1065,-26
196712,1006,-85
196812,1111,20
196912,1149,58
197012,996,-95
197112,857,-234
197212,1091,0
197312,1106,15
197412,1029,-62
197512,1015,-76
197612,1278,187
197712,1201,110
197812,1047,-44
197912,976,-115
198012,1064,-27
198112,1172,81
198212,791,-300
198312,1396,305
198412,858,-233
198512,1321,230
198612,1035,-56
198712,944,-147
198812,1081,-10
198912,1463,372
199012,990,-101
199112,961,-130
199212,1034,-57
199312,1059,-32
199412,879,-212
199512,1187,96
199612,1007,-84
199712,1002,-89
199812,898,-193
199912,1006,-85
200012,1437,346
200112,884,-207
200212,1045,-46
200312,988,-103
200412,1071,-20
200512,1206,115
200612,870,-221
200712,1025,-66
200812,1133,42
200912,1089,-2
201012,1278,187
201112,893,-198
201212,845,-246
201312,1121,30
201412,956,-135
201512,713,-378
