Delaware, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,428,30
189604,319,-79
189704,418,20
189804,493,95
189904,402,4
190004,403,5
190104,488,90
190204,436,38
190304,407,9
190404,510,112
190504,418,20
190604,367,-31
190704,569,171
190804,350,-48
190904,400,2
191004,300,-98
191104,515,117
191204,383,-15
191304,353,-45
191404,437,39
191504,279,-119
191604,445,47
191704,399,1
191804,418,20
191904,421,23
192004,434,36
192104,241,-157
192204,385,-13
192304,420,22
192404,479,81
192504,349,-49
192604,482,84
192704,484,86
192804,487,89
192904,336,-62
193004,482,84
193104,434,36
193204,460,62
193304,402,4
193404,434,36
193504,468,70
193604,466,68
193704,427,29
193804,330,-68
193904,435,37
194004,547,149
194104,282,-116
194204,321,-77
194304,515,117
194404,445,47
194504,301,-97
194604,417,19
194704,367,-31
194804,410,12
194904,395,-3
195004,491,93
195104,395,-3
195204,329,-69
195304,389,-9
195404,292,-106
195504,312,-86
195604,468,70
195704,299,-99
195804,358,-40
195904,318,-80
196004,250,-148
196104,485,87
196204,373,-25
196304,370,-28
196404,467,69
196504,483,85
196604,516,118
196704,393,-5
196804,365,-33
196904,323,-75
197004,420,22
197104,443,45
197204,476,78
197304,377,-21
197404,312,-86
197504,527,129
197604,311,-87
197704,300,-98
197804,409,11
197904,429,31
198004,332,-66
198104,295,-103
198204,453,55
198304,420,22
198404,435,37
198504,274,-124
198604,388,-10
198704,410,12
198804,448,50
198904,416,18
199004,356,-42
199104,318,-80
199204,413,15
199304,396,-2
199404,239,-159
199504,366,-32
199604,359,-39
199704,425,27
199804,304,-94
199904,356,-42
200004,388,-10
200104,341,-57
200204,254,-144
200304,397,-1
200404,325,-73
200504,320,-78
200604,275,-123
200704,430,32
200804,301,-97
200904,312,-86
201004,245,-153
201104,257,-141
201204,323,-75
201304,329,-69
201404,371,-27
201504,329,-69
