Maryland, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1155,278
189602,863,-14
189702,865,-12
189802,893,16
189902,1094,217
190002,930,53
190102,1063,186
190202,1055,178
190302,845,-32
190402,1091,214
190502,1140,263
190602,910,33
190702,1073,196
190802,1023,146
190902,677,-200
191002,915,38
191102,848,-29
191202,1024,147
191302,876,-1
191402,1047,170
191502,805,-72
191602,936,59
191702,959,82
191802,902,25
191902,857,-20
192002,971,94
192102,796,-81
192202,810,-67
192302,985,108
192402,936,59
192502,716,-161
192602,888,11
192702,728,-149
192802,850,-27
192902,928,51
193002,742,-135
193102,813,-64
193202,707,-170
193302,824,-53
193402,1219,342
193502,921,44
193602,1107,230
193702,858,-19
193802,756,-121
193902,740,-137
194002,884,7
194102,957,80
194202,944,67
194302,833,-44
194402,849,-28
194502,862,-15
194602,827,-50
194702,1014,137
194802,898,21
194902,692,-185
195002,843,-34
195102,836,-41
195202,777,-100
195302,730,-147
195402,699,-178
195502,873,-4
195602,768,-109
195702,761,-116
195802,1037,160
195902,851,-26
196002,839,-38
196102,828,-49
196202,939,62
196302,1058,181
196402,917,40
196502,864,-13
196602,906,29
196702,977,100
196802,976,99
196902,910,33
197002,893,16
197102,837,-40
197202,924,47
197302,898,21
197402,880,3
197502,818,-59
197602,644,-233
197702,862,-15
197802,1132,255
197902,1172,295
198002,974,97
198102,770,-107
198202,852,-25
198302,857,-20
198402,714,-163
198502,833,-44
198602,920,43
198702,898,21
198802,848,-29
198902,837,-40
199002,647,-230
199102,706,-171
199202,771,-106
199302,948,71
199402,908,31
199502,946,69
199602,866,-11
199702,697,-180
199802,684,-193
199902,769,-108
200002,742,-135
200102,761,-116
200202,708,-169
200302,964,87
200402,860,-17
200502,794,-83
200602,811,-66
200702,1028,151
200802,783,-94
200902,778,-99
201002,948,71
201102,775,-102
201202,683,-194
201302,855,-22
201402,905,28
201502,1113,236
