Idaho, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,215,39
189606,127,-49
189706,171,-5
189806,143,-33
189906,210,34
190006,83,-93
190106,281,105
190206,186,10
190306,104,-72
190406,193,17
190506,213,37
190606,255,79
190706,259,83
190806,266,90
190906,157,-19
191006,160,-16
191106,156,-20
191206,148,-28
191306,167,-9
191406,217,41
191506,239,63
191606,232,56
191706,231,55
191806,66,-110
191906,140,-36
192006,207,31
192106,122,-54
192206,97,-79
192306,228,52
192406,162,-14
192506,168,-8
192606,106,-70
192706,150,-26
192806,218,42
192906,203,27
193006,196,20
193106,118,-58
193206,153,-23
193306,106,-70
193406,160,-16
193506,165,-11
193606,113,-63
193706,183,7
193806,134,-42
193906,227,51
194006,91,-85
194106,183,7
194206,243,67
194306,257,81
194406,237,61
194506,254,78
194606,174,-2
194706,242,66
194806,122,-54
194906,174,-2
195006,205,29
195106,243,67
195206,177,1
195306,251,75
195406,248,72
195506,172,-4
195606,176,0
195706,159,-17
195806,130,-46
195906,125,-51
196006,135,-41
196106,70,-106
196206,171,-5
196306,208,32
196406,221,45
196506,194,18
196606,197,21
196706,181,5
196806,173,-3
196906,171,-5
197006,131,-45
197106,216,40
197206,147,-29
197306,161,-15
197406,93,-83
197506,223,47
197606,226,50
197706,84,-92
197806,178,2
197906,149,-27
198006,215,39
198106,208,32
198206,158,-18
198306,197,21
198406,230,54
198506,138,-38
198606,78,-98
198706,112,-64
198806,90,-86
198906,136,-40
199006,165,-11
199106,219,43
199206,100,-76
199306,243,67
199406,144,-32
199506,219,43
199606,148,-28
199706,161,-15
199806,233,57
199906,195,19
200006,143,-33
200106,163,-13
200206,128,-48
200306,124,-52
200406,138,-38
200506,220,44
200606,102,-74
200706,122,-54
200806,180,4
200906,175,-1
201006,196,20
201106,234,58
201206,174,-2
201306,126,-50
201406,171,-5
201506,49,-127
