Washington, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,381,22
189605,454,95
189705,269,-90
189805,327,-32
189905,478,119
190005,335,-24
190105,347,-12
190205,338,-21
190305,394,35
190405,395,36
190505,376,17
190605,366,7
190705,307,-52
190805,437,78
190905,433,74
191005,298,-61
191105,432,73
191205,304,-55
191305,382,23
191405,282,-77
191505,339,-20
191605,455,96
191705,417,58
191805,425,66
191905,395,36
192005,473,114
192105,390,31
192205,386,27
192305,372,13
192405,276,-83
192505,275,-84
192605,333,-26
192705,445,86
192805,266,-93
192905,374,15
193005,409,50
193105,274,-85
193205,382,23
193305,456,97
193405,282,-77
193505,377,18
193605,277,-82
193705,357,-2
193805,342,-17
193905,335,-24
194005,264,-95
194105,341,-18
194205,368,9
194305,426,67
194405,355,-4
194505,305,-54
194605,286,-73
194705,263,-96
194805,404,45
194905,287,-72
195005,443,84
195105,356,-3
195205,353,-6
195305,381,22
195405,361,2
195505,475,116
195605,279,-80
195705,255,-104
195805,201,-158
195905,410,51
196005,420,61
196105,365,6
196205,461,102
196305,341,-18
196405,432,73
196505,439,80
196605,369,10
196705,372,13
196805,354,-5
196905,285,-74
197005,390,31
197105,353,-6
197205,305,-54
197305,337,-22
197405,455,96
197505,388,29
197605,374,15
197705,440,81
197805,406,47
197905,323,-36
198005,361,2
198105,372,13
198205,383,24
198305,287,-72
198405,441,82
198505,346,-13
198605,347,-12
198705,299,-60
198805,360,1
198905,358,-1
199005,374,15
199105,398,39
199205,252,-107
199305,218,-141
199405,295,-64
199505,267,-92
199605,448,89
199705,263,-96
199805,333,-26
199905,448,89
200005,376,17
200105,338,-21
200205,416,57
200305,363,4
200405,311,-48
200505,258,-101
200605,326,-33
200705,340,-19
200805,335,-24
200905,348,-11
201005,431,72
201105,449,90
201205,379,20
201305,304,-55
201405,269,-90
201505,253,-106
