Arkansas, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,914,98
189601,782,-34
189701,859,43
189801,678,-138
189901,852,36
190001,718,-98
190101,668,-148
190201,888,72
190301,829,13
190401,874,58
190501,1051,235
190601,749,-67
190701,549,-267
190801,783,-33
190901,703,-113
191001,765,-51
191101,600,-216
191201,1014,198
191301,723,-93
191401,647,-169
191501,866,50
191601,717,-99
191701,718,-98
191801,1223,407
191901,778,-38
192001,848,32
192101,625,-191
192201,861,45
192301,580,-236
192401,955,139
192501,822,6
192601,813,-3
192701,768,-48
192801,760,-56
192901,869,53
193001,1045,229
193101,761,-55
193201,639,-177
193301,569,-247
193401,691,-125
193501,715,-101
193601,920,104
193701,797,-19
193801,767,-49
193901,665,-151
194001,1206,390
194101,722,-94
194201,887,71
194301,767,-49
194401,758,-58
194501,821,5
194601,789,-27
194701,739,-77
194801,1021,205
194901,762,-54
195001,596,-220
195101,771,-45
195201,599,-217
195301,656,-160
195401,774,-42
195501,775,-41
195601,870,54
195701,850,34
195801,852,36
195901,868,52
196001,806,-10
196101,912,96
196201,940,124
196301,1012,196
196401,775,-41
196501,715,-101
196601,954,138
196701,743,-73
196801,865,49
196901,785,-31
197001,987,171
197101,810,-6
197201,772,-44
197301,853,37
197401,774,-42
197501,698,-118
197601,844,28
197701,1181,365
197801,1124,308
197901,1184,368
198001,776,-40
198101,851,35
198201,943,127
198301,844,28
198401,970,154
198501,1040,224
198601,746,-70
198701,832,16
198801,950,134
198901,659,-157
199001,620,-196
199101,881,65
199201,761,-55
199301,814,-2
199401,898,82
199501,758,-58
199601,854,38
199701,840,24
199801,658,-158
199901,714,-102
200001,738,-78
200101,879,63
200201,715,-101
200301,890,74
200401,758,-58
200501,648,-168
200601,564,-252
200701,800,-16
200801,821,5
200901,843,27
201001,896,80
201101,869,53
201201,651,-165
201301,728,-88
201401,937,121
201501,831,15
