Wyoming, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,668,-98
189604,816,50
189704,806,40
189804,707,-59
189904,773,7
190004,724,-42
190104,773,7
190204,813,47
190304,794,28
190404,733,-33
190504,808,42
190604,703,-63
190704,826,60
190804,666,-100
190904,918,152
191004,584,-182
191104,799,33
191204,811,45
191304,693,-73
191404,752,-14
191504,560,-206
191604,779,13
191704,915,149
191804,923,157
191904,746,-20
192004,1010,244
192104,822,56
192204,881,115
192304,825,59
192404,824,58
192504,656,-110
192604,698,-68
192704,818,52
192804,848,82
192904,848,82
193004,563,-203
193104,759,-7
193204,735,-31
193304,864,98
193404,653,-113
193504,854,88
193604,779,13
193704,808,42
193804,744,-22
193904,674,-92
194004,751,-15
194104,781,15
194204,655,-111
194304,556,-210
194404,805,39
194504,938,172
194604,565,-201
194704,791,25
194804,702,-64
194904,634,-132
195004,820,54
195104,855,89
195204,689,-77
195304,895,129
195404,677,-89
195504,775,9
195604,819,53
195704,866,100
195804,842,76
195904,784,18
196004,700,-66
196104,817,51
196204,661,-105
196304,779,13
196404,810,44
196504,698,-68
196604,849,83
196704,776,10
196804,886,120
196904,647,-119
197004,940,174
197104,788,22
197204,759,-7
197304,929,163
197404,747,-19
197504,924,158
197604,730,-36
197704,658,-108
197804,707,-59
197904,751,-15
198004,734,-32
198104,596,-170
198204,843,77
198304,912,146
198404,886,120
198504,650,-116
198604,728,-38
198704,586,-180
198804,669,-97
198904,685,-81
199004,693,-73
199104,795,29
199204,596,-170
199304,776,10
199404,707,-59
199504,827,61
199604,733,-33
199704,910,144
199804,745,-21
199904,835,69
200004,662,-104
200104,696,-70
200204,722,-44
200304,646,-120
200404,666,-100
200504,722,-44
200604,622,-144
200704,723,-43
200804,848,82
200904,787,21
201004,750,-16
201104,805,39
201204,582,-184
201304,896,130
201404,736,-30
201504,693,-73
