Virginia, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1046,106
189601,982,42
189701,1041,101
189801,843,-97
189901,952,12
190001,919,-21
190101,917,-23
190201,1028,88
190301,985,45
190401,1116,176
190501,1083,143
190601,799,-141
190701,794,-146
190801,976,36
190901,838,-102
191001,955,15
191101,815,-125
191201,1208,268
191301,690,-250
191401,845,-95
191501,942,2
191601,769,-171
191701,890,-50
191801,1288,348
191901,871,-69
192001,1038,98
192101,879,-61
192201,1032,92
192301,878,-62
192401,957,17
192501,997,57
192601,976,36
192701,947,7
192801,903,-37
192901,936,-4
193001,888,-52
193101,894,-46
193201,620,-320
193301,711,-229
193401,811,-129
193501,977,37
193601,1102,162
193701,665,-275
193801,939,-1
193901,856,-84
194001,1303,363
194101,981,41
194201,994,54
194301,870,-70
194401,910,-30
194501,1041,101
194601,898,-42
194701,750,-190
194801,1130,190
194901,689,-251
195001,579,-361
195101,846,-94
195201,775,-165
195301,781,-159
195401,910,-30
195501,987,47
195601,999,59
195701,989,49
195801,1041,101
195901,979,39
196001,884,-56
196101,1106,166
196201,975,35
196301,1055,115
196401,928,-12
196501,968,28
196601,1084,144
196701,817,-123
196801,1083,143
196901,1041,101
197001,1141,201
197101,1056,116
197201,838,-102
197301,919,-21
197401,693,-247
197501,839,-101
197601,1022,82
197701,1305,365
197801,1134,194
197901,1011,71
198001,948,8
198101,1114,174
198201,1144,204
198301,951,11
198401,1073,133
198501,1089,149
198601,964,24
198701,998,58
198801,1099,159
198901,795,-145
199001,711,-229
199101,870,-70
199201,861,-79
199301,814,-126
199401,1109,169
199501,848,-92
199601,995,55
199701,919,-21
199801,742,-198
199901,808,-132
200001,955,15
200101,947,7
200201,780,-160
200301,1052,112
200401,1033,93
200501,858,-82
200601,699,-241
200701,771,-169
200801,881,-59
200901,1014,74
201001,984,44
201101,1020,80
201201,804,-136
201301,820,-120
201401,1091,151
201501,973,33
