Michigan, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,91,-57
189609,260,112
189709,98,-50
189809,104,-44
189909,232,84
190009,88,-60
190109,143,-5
190209,191,43
190309,159,11
190409,163,15
190509,118,-30
190609,68,-80
190709,162,14
190809,66,-82
190909,193,45
191009,169,21
191109,142,-6
191209,108,-40
191309,155,7
191409,169,21
191509,120,-28
191609,161,13
191709,224,76
191809,323,175
191909,104,-44
192009,106,-42
192109,57,-91
192209,97,-51
192309,147,-1
192409,268,120
192509,97,-51
192609,180,32
192709,82,-66
192809,246,98
192909,141,-7
193009,106,-42
193109,50,-98
193209,160,12
193309,67,-81
193409,109,-39
193509,183,35
193609,101,-47
193709,166,18
193809,178,30
193909,99,-49
194009,162,14
194109,83,-65
194209,182,34
194309,219,71
194409,120,-28
194509,136,-12
194609,117,-31
194709,108,-40
194809,86,-62
194909,246,98
195009,176,28
195109,195,47
195209,133,-15
195309,139,-9
195409,122,-26
195509,127,-21
195609,220,72
195709,176,28
195809,147,-1
195909,89,-59
196009,93,-55
196109,65,-83
196209,207,59
196309,186,38
196409,159,11
196509,132,-16
196609,187,39
196709,198,50
196809,108,-40
196909,129,-19
197009,124,-24
197109,85,-63
197209,150,2
197309,123,-25
197409,228,80
197509,271,123
197609,190,42
197709,127,-21
197809,88,-60
197909,133,-15
198009,140,-8
198109,198,50
198209,166,18
198309,117,-31
198409,188,40
198509,115,-33
198609,124,-24
198709,127,-21
198809,146,-2
198909,181,33
199009,141,-7
199109,184,36
199209,183,35
199309,260,112
199409,116,-32
199509,199,51
199609,137,-11
199709,158,10
199809,71,-77
199909,117,-31
200009,158,10
200109,178,30
200209,61,-87
200309,142,-6
200409,75,-73
200509,61,-87
200609,178,30
200709,85,-63
200809,103,-45
200909,114,-34
201009,133,-15
201109,144,-4
201209,141,-7
201309,128,-20
201409,146,-2
201509,50,-98
