Arizona, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,275,-26
189603,232,-69
189703,428,127
189803,357,56
189903,300,-1
190003,177,-124
190103,328,27
190203,393,92
190303,324,23
190403,207,-94
190503,290,-11
190603,293,-8
190703,271,-30
190803,243,-58
190903,391,90
191003,162,-139
191103,218,-83
191203,332,31
191303,397,96
191403,224,-77
191503,346,45
191603,199,-102
191703,397,96
191803,248,-53
191903,384,83
192003,366,65
192103,210,-91
192203,408,107
192303,370,69
192403,436,135
192503,242,-59
192603,260,-41
192703,340,39
192803,232,-69
192903,344,43
193003,320,19
193103,292,-9
193203,301,0
193303,293,-8
193403,146,-155
193503,371,70
193603,251,-50
193703,340,39
193803,344,43
193903,274,-27
194003,224,-77
194103,336,35
194203,366,65
194303,243,-58
194403,387,86
194503,416,115
194603,277,-24
194703,265,-36
194803,440,139
194903,328,27
195003,258,-43
195103,321,20
195203,472,171
195303,273,-28
195403,331,30
195503,298,-3
195603,263,-38
195703,270,-31
195803,416,115
195903,265,-36
196003,216,-85
196103,294,-7
196203,434,133
196303,310,9
196403,402,101
196503,380,79
196603,260,-41
196703,226,-75
196803,293,-8
196903,392,91
197003,345,44
197103,256,-45
197203,127,-174
197303,467,166
197403,242,-59
197503,360,59
197603,328,27
197703,391,90
197803,222,-79
197903,340,39
198003,344,43
198103,309,8
198203,310,9
198303,327,26
198403,243,-58
198503,300,-1
198603,183,-118
198703,334,33
198803,259,-42
198903,163,-138
199003,230,-71
199103,405,104
199203,289,-12
199303,248,-53
199403,219,-82
199503,253,-48
199603,233,-68
199703,163,-138
199803,313,12
199903,223,-78
200003,263,-38
200103,249,-52
200203,280,-21
200303,272,-29
200403,114,-187
200503,293,-8
200603,315,14
200703,178,-123
200803,232,-69
200903,211,-90
201003,306,5
201103,198,-103
201203,249,-52
201303,173,-128
201403,185,-116
201503,139,-162
