Massachusetts, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1036,106
189603,1115,185
189703,962,32
189803,791,-139
189903,1043,113
190003,1079,149
190103,986,56
190203,761,-169
190303,717,-213
190403,1032,102
190503,987,57
190603,1119,189
190703,934,4
190803,931,1
190903,998,68
191003,811,-119
191103,1045,115
191203,1024,94
191303,817,-113
191403,993,63
191503,1026,96
191603,1194,264
191703,989,59
191803,964,34
191903,858,-72
192003,941,11
192103,698,-232
192203,913,-17
192303,1096,166
192403,981,51
192503,830,-100
192603,1087,157
192703,853,-77
192803,983,53
192903,837,-93
193003,931,1
193103,912,-18
193203,1027,97
193303,1000,70
193403,1015,85
193503,885,-45
193603,765,-165
193703,1049,119
193803,873,-57
193903,1055,125
194003,1087,157
194103,1074,144
194203,836,-94
194303,991,61
194403,1023,93
194503,663,-267
194603,655,-275
194703,961,31
194803,932,2
194903,884,-46
195003,1066,136
195103,887,-43
195203,951,21
195303,861,-69
195403,896,-34
195503,940,10
195603,1080,150
195703,888,-42
195803,887,-43
195903,963,33
196003,1116,186
196103,946,16
196203,923,-7
196303,912,-18
196403,896,-34
196503,973,43
196603,886,-44
196703,1071,141
196803,881,-49
196903,997,67
197003,993,63
197103,965,35
197203,997,67
197303,759,-171
197403,906,-24
197503,980,50
197603,867,-63
197703,764,-166
197803,1025,95
197903,804,-126
198003,949,19
198103,901,-29
198203,944,14
198303,834,-96
198403,1071,141
198503,843,-87
198603,853,-77
198703,880,-50
198803,891,-39
198903,937,7
199003,851,-79
199103,808,-122
199203,995,65
199303,1002,72
199403,927,-3
199503,842,-88
199603,1003,73
199703,939,9
199803,813,-117
199903,855,-75
200003,735,-195
200103,977,47
200203,837,-93
200303,921,-9
200403,865,-65
200503,1019,89
200603,896,-34
200703,928,-2
200803,915,-15
200903,904,-26
201003,712,-218
201103,888,-42
201203,636,-294
201303,900,-30
201403,1076,146
201503,1079,149
