Tennessee, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,219,-18
189604,100,-137
189704,235,-2
189804,357,120
189904,250,13
190004,219,-18
190104,372,135
190204,278,41
190304,267,30
190404,360,123
190504,224,-13
190604,180,-57
190704,428,191
190804,155,-82
190904,218,-19
191004,252,15
191104,264,27
191204,182,-55
191304,248,11
191404,222,-15
191504,169,-68
191604,276,39
191704,209,-28
191804,265,28
191904,226,-11
192004,275,38
192104,214,-23
192204,153,-84
192304,266,29
192404,230,-7
192504,125,-112
192604,317,80
192704,139,-98
192804,321,84
192904,162,-75
193004,178,-59
193104,273,36
193204,218,-19
193304,252,15
193404,222,-15
193504,251,14
193604,302,65
193704,246,9
193804,188,-49
193904,292,55
194004,268,31
194104,159,-78
194204,185,-52
194304,262,25
194404,269,32
194504,180,-57
194604,159,-78
194704,180,-57
194804,133,-104
194904,288,51
195004,335,98
195104,306,69
195204,261,24
195304,306,69
195404,116,-121
195504,143,-94
195604,285,48
195704,152,-85
195804,239,2
195904,225,-12
196004,184,-53
196104,359,122
196204,330,93
196304,177,-60
196404,168,-69
196504,155,-82
196604,254,17
196704,137,-100
196804,217,-20
196904,202,-35
197004,184,-53
197104,258,21
197204,213,-24
197304,291,54
197404,242,5
197504,285,48
197604,233,-4
197704,156,-81
197804,187,-50
197904,235,-2
198004,280,43
198104,121,-116
198204,339,102
198304,396,159
198404,271,34
198504,181,-56
198604,195,-42
198704,304,67
198804,246,9
198904,266,29
199004,273,36
199104,154,-83
199204,245,8
199304,313,76
199404,170,-67
199504,206,-31
199604,317,80
199704,359,122
199804,252,15
199904,145,-92
200004,294,57
200104,149,-88
200204,155,-82
200304,189,-48
200404,243,6
200504,227,-10
200604,112,-125
200704,297,60
200804,240,3
200904,243,6
201004,154,-83
201104,152,-85
201204,173,-64
201304,254,17
201404,208,-29
201504,172,-65
