Maryland, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,420,39
189604,299,-82
189704,416,35
189804,484,103
189904,378,-3
190004,402,21
190104,489,108
190204,416,35
190304,401,20
190404,509,128
190504,390,9
190604,343,-38
190704,546,165
190804,337,-44
190904,388,7
191004,284,-97
191104,499,118
191204,343,-38
191304,349,-32
191404,417,36
191504,254,-127
191604,428,47
191704,388,7
191804,427,46
191904,422,41
192004,436,55
192104,228,-153
192204,351,-30
192304,419,38
192404,466,85
192504,323,-58
192604,464,83
192704,474,93
192804,467,86
192904,306,-75
193004,450,69
193104,412,31
193204,447,66
193304,375,-6
193404,411,30
193504,465,84
193604,465,84
193704,421,40
193804,325,-56
193904,433,52
194004,522,141
194104,259,-122
194204,295,-86
194304,506,125
194404,438,57
194504,286,-95
194604,385,4
194704,338,-43
194804,359,-22
194904,397,16
195004,478,97
195104,386,5
195204,332,-49
195304,372,-9
195404,260,-121
195504,286,-95
195604,434,53
195704,286,-95
195804,353,-28
195904,295,-86
196004,240,-141
196104,491,110
196204,360,-21
196304,346,-35
196404,434,53
196504,452,71
196604,494,113
196704,348,-33
196804,346,-35
196904,310,-71
197004,401,20
197104,426,45
197204,435,54
197304,379,-2
197404,301,-80
197504,510,129
197604,299,-82
197704,288,-93
197804,384,3
197904,408,27
198004,334,-47
198104,270,-111
198204,441,60
198304,438,57
198404,421,40
198504,247,-134
198604,351,-30
198704,387,6
198804,409,28
198904,405,24
199004,339,-42
199104,298,-83
199204,381,0
199304,388,7
199404,214,-167
199504,366,-15
199604,339,-42
199704,427,46
199804,294,-87
199904,343,-38
200004,363,-18
200104,310,-71
200204,255,-126
200304,368,-13
200404,314,-67
200504,300,-81
200604,256,-125
200704,414,33
200804,283,-98
200904,304,-77
201004,227,-154
201104,251,-130
201204,320,-61
201304,310,-71
201404,363,-18
201504,317,-64
