Kentucky, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,127,12
189605,33,-82
189705,181,66
189805,74,-41
189905,62,-53
190005,92,-23
190105,129,14
190205,48,-67
190305,62,-53
190405,114,-1
190505,68,-47
190605,96,-19
190705,176,61
190805,86,-29
190905,130,15
191005,183,68
191105,49,-66
191205,86,-29
191305,97,-18
191405,91,-24
191505,110,-5
191605,76,-39
191705,242,127
191805,53,-62
191905,135,20
192005,131,16
192105,106,-9
192205,70,-45
192305,133,18
192405,217,102
192505,192,77
192605,99,-16
192705,104,-11
192805,148,33
192905,130,15
193005,87,-28
193105,150,35
193205,107,-8
193305,56,-59
193405,70,-45
193505,142,27
193605,59,-56
193705,112,-3
193805,100,-15
193905,87,-28
194005,164,49
194105,72,-43
194205,100,-15
194305,75,-40
194405,37,-78
194505,173,58
194605,134,19
194705,152,37
194805,129,14
194905,90,-25
195005,88,-27
195105,105,-10
195205,104,-11
195305,60,-55
195405,199,84
195505,77,-38
195605,90,-25
195705,94,-21
195805,118,3
195905,56,-59
196005,162,47
196105,199,84
196205,30,-85
196305,138,23
196405,83,-32
196505,49,-66
196605,159,44
196705,169,54
196805,147,32
196905,105,-10
197005,81,-34
197105,193,78
197205,119,4
197305,193,78
197405,108,-7
197505,73,-42
197605,191,76
197705,60,-55
197805,154,39
197905,148,33
198005,118,3
198105,183,68
198205,53,-62
198305,172,57
198405,175,60
198505,97,-18
198605,87,-28
198705,42,-73
198805,123,8
198905,182,67
199005,152,37
199105,36,-79
199205,154,39
199305,111,-4
199405,194,79
199505,123,8
199605,79,-36
199705,217,102
199805,60,-55
199905,100,-15
200005,71,-44
200105,82,-33
200205,150,35
200305,114,-1
200405,45,-70
200505,159,44
200605,141,26
200705,61,-54
200805,157,42
200905,102,-13
201005,66,-49
201105,113,-2
201205,43,-72
201305,99,-16
201405,85,-30
201505,66,-49
