Nevada, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,857,78
189601,673,-106
189701,739,-40
189801,972,193
189901,710,-69
190001,615,-164
190101,752,-27
190201,767,-12
190301,708,-71
190401,833,54
190501,691,-88
190601,787,8
190701,846,67
190801,672,-107
190901,614,-165
191001,901,122
191101,681,-98
191201,736,-43
191301,906,127
191401,717,-62
191501,811,32
191601,935,156
191701,1089,310
191801,758,-21
191901,767,-12
192001,663,-116
192101,730,-49
192201,947,168
192301,668,-111
192401,869,90
192501,792,13
192601,778,-1
192701,674,-105
192801,714,-65
192901,830,51
193001,936,157
193101,754,-25
193201,946,167
193301,918,139
193401,654,-125
193501,739,-40
193601,717,-62
193701,1278,499
193801,681,-98
193901,767,-12
194001,711,-68
194101,716,-63
194201,817,38
194301,752,-27
194401,857,78
194501,749,-30
194601,799,20
194701,861,82
194801,743,-36
194901,1227,448
195001,896,117
195101,784,5
195201,897,118
195301,585,-194
195401,732,-47
195501,954,175
195601,646,-133
195701,871,92
195801,737,-42
195901,680,-99
196001,891,112
196101,731,-48
196201,837,58
196301,867,88
196401,833,54
196501,681,-98
196601,814,35
196701,724,-55
196801,768,-11
196901,676,-103
197001,733,-46
197101,743,-36
197201,838,59
197301,877,98
197401,853,74
197501,775,-4
197601,699,-80
197701,798,19
197801,677,-102
197901,928,149
198001,658,-121
198101,613,-166
198201,812,33
198301,687,-92
198401,737,-42
198501,808,29
198601,558,-221
198701,814,35
198801,814,35
198901,846,67
199001,748,-31
199101,780,1
199201,752,-27
199301,834,55
199401,659,-120
199501,698,-81
199601,662,-117
199701,707,-72
199801,660,-119
199901,638,-141
200001,633,-146
200101,770,-9
200201,754,-25
200301,495,-284
200401,737,-42
200501,693,-86
200601,664,-115
200701,824,45
200801,823,44
200901,641,-138
201001,702,-77
201101,703,-76
201201,640,-139
201301,850,71
201401,567,-212
201501,589,-190
