Nebraska, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1197,-34
189612,1011,-220
189712,1398,167
189812,1357,126
189912,1285,54
190012,1082,-149
190112,1336,105
190212,1433,202
190312,1214,-17
190412,1231,0
190512,1136,-95
190612,1142,-89
190712,1149,-82
190812,1134,-97
190912,1626,395
191012,1264,33
191112,1243,12
191212,1114,-117
191312,1127,-104
191412,1555,324
191512,1184,-47
191612,1446,215
191712,1477,246
191812,1053,-178
191912,1457,226
192012,1236,5
192112,1131,-100
192212,1228,-3
192312,1054,-177
192412,1568,337
192512,1260,29
192612,1310,79
192712,1464,233
192812,1143,-88
192912,1203,-28
193012,1139,-92
193112,1044,-187
193212,1389,158
193312,1083,-148
193412,1290,59
193512,1196,-35
193612,1147,-84
193712,1234,3
193812,1128,-103
193912,1002,-229
194012,1153,-78
194112,1070,-161
194212,1276,45
194312,1171,-60
194412,1292,61
194512,1431,200
194612,1096,-135
194712,1198,-33
194812,1280,49
194912,1185,-46
195012,1228,-3
195112,1407,176
195212,1263,32
195312,1122,-109
195412,1079,-152
195512,1389,158
195612,1073,-158
195712,987,-244
195812,1231,0
195912,1004,-227
196012,1189,-42
196112,1424,193
196212,1177,-54
196312,1426,195
196412,1306,75
196512,1009,-222
196612,1251,20
196712,1210,-21
196812,1380,149
196912,1244,13
197012,1172,-59
197112,1174,-57
197212,1409,178
197312,1302,71
197412,1192,-39
197512,1161,-70
197612,1225,-6
197712,1261,30
197812,1399,168
197912,1026,-205
198012,1121,-110
198112,1243,12
198212,1114,-117
198312,1781,550
198412,1198,-33
198512,1425,194
198612,1106,-125
198712,1095,-136
198812,1054,-177
198912,1434,203
199012,1348,117
199112,1038,-193
199212,1234,3
199312,1087,-144
199412,1144,-87
199512,1161,-70
199612,1336,105
199712,1104,-127
199812,1075,-156
199912,1024,-207
200012,1504,273
200112,1036,-195
200212,1022,-209
200312,1059,-172
200412,1072,-159
200512,1246,15
200612,1029,-202
200712,1331,100
200812,1354,123
200912,1421,190
201012,1239,8
201112,1111,-120
201212,1143,-88
201312,1314,83
201412,1112,-119
201512,1037,-194
