Minnesota, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,507,-174
189604,655,-26
189704,678,-3
189804,694,13
189904,668,-13
190004,495,-186
190104,595,-86
190204,718,37
190304,685,4
190404,826,145
190504,731,50
190604,550,-131
190704,943,262
190804,627,-54
190904,904,223
191004,529,-152
191104,689,8
191204,611,-70
191304,585,-96
191404,728,47
191504,408,-273
191604,740,59
191704,795,114
191804,736,55
191904,689,8
192004,898,217
192104,558,-123
192204,694,13
192304,745,64
192404,721,40
192504,498,-183
192604,745,64
192704,674,-7
192804,857,176
192904,652,-29
193004,606,-75
193104,590,-91
193204,685,4
193304,723,42
193404,701,20
193504,761,80
193604,873,192
193704,751,70
193804,664,-17
193904,769,88
194004,751,70
194104,501,-180
194204,496,-185
194304,695,14
194404,778,97
194504,741,60
194604,548,-133
194704,792,111
194804,574,-107
194904,622,-59
195004,949,268
195104,779,98
195204,571,-110
195304,798,117
195404,677,-4
195504,461,-220
195604,805,124
195704,671,-10
195804,618,-63
195904,665,-16
196004,677,-4
196104,833,152
196204,758,77
196304,600,-81
196404,634,-47
196504,741,60
196604,795,114
196704,698,17
196804,598,-83
196904,604,-77
197004,707,26
197104,644,-37
197204,785,104
197304,691,10
197404,644,-37
197504,871,190
197604,518,-163
197704,465,-216
197804,693,12
197904,798,117
198004,565,-116
198104,569,-112
198204,761,80
198304,762,81
198404,616,-65
198504,521,-160
198604,553,-128
198704,446,-235
198804,635,-46
198904,708,27
199004,638,-43
199104,558,-123
199204,750,69
199304,726,45
199404,667,-14
199504,806,125
199604,812,131
199704,743,62
199804,528,-153
199904,587,-94
200004,657,-24
200104,616,-65
200204,702,21
200304,633,-48
200404,602,-79
200504,507,-174
200604,470,-211
200704,675,-6
200804,733,52
200904,653,-28
201004,436,-245
201104,680,-1
201204,563,-118
201304,886,205
201404,780,99
201504,588,-93
