New Jersey, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,534,54
189604,417,-63
189704,490,10
189804,574,94
189904,501,21
190004,479,-1
190104,553,73
190204,492,12
190304,478,-2
190404,597,117
190504,501,21
190604,459,-21
190704,648,168
190804,467,-13
190904,499,19
191004,394,-86
191104,584,104
191204,490,10
191304,430,-50
191404,548,68
191504,361,-119
191604,542,62
191704,528,48
191804,498,18
191904,507,27
192004,552,72
192104,302,-178
192204,471,-9
192304,498,18
192404,558,78
192504,447,-33
192604,608,128
192704,570,90
192804,574,94
192904,453,-27
193004,565,85
193104,500,20
193204,545,65
193304,482,2
193404,510,30
193504,539,59
193604,558,78
193704,518,38
193804,409,-71
193904,552,72
194004,626,146
194104,327,-153
194204,395,-85
194304,627,147
194404,553,73
194504,361,-119
194604,492,12
194704,482,2
194804,476,-4
194904,445,-35
195004,568,88
195104,454,-26
195204,396,-84
195304,464,-16
195404,394,-86
195504,394,-86
195604,568,88
195704,406,-74
195804,432,-48
195904,411,-69
196004,356,-124
196104,567,87
196204,454,-26
196304,457,-23
196404,531,51
196504,552,72
196604,582,102
196704,488,8
196804,408,-72
196904,397,-83
197004,496,16
197104,529,49
197204,562,82
197304,430,-50
197404,387,-93
197504,601,121
197604,376,-104
197704,397,-83
197804,495,15
197904,480,0
198004,413,-67
198104,374,-106
198204,528,48
198304,483,3
198404,496,16
198504,374,-106
198604,447,-33
198704,442,-38
198804,504,24
198904,505,25
199004,445,-35
199104,386,-94
199204,513,33
199304,451,-29
199404,357,-123
199504,479,-1
199604,448,-32
199704,506,26
199804,389,-91
199904,437,-43
200004,468,-12
200104,417,-63
200204,347,-133
200304,507,27
200404,403,-77
200504,382,-98
200604,361,-119
200704,505,25
200804,370,-110
200904,385,-95
201004,296,-184
201104,350,-130
201204,384,-96
201304,416,-64
201404,451,-29
201504,417,-63
