Texas, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,55,-11
189604,36,-30
189704,61,-5
189804,83,17
189904,87,21
190004,71,5
190104,95,29
190204,33,-33
190304,73,7
190404,64,-2
190504,83,17
190604,55,-11
190704,90,24
190804,51,-15
190904,64,-2
191004,71,5
191104,61,-5
191204,66,0
191304,86,20
191404,82,16
191504,67,1
191604,94,28
191704,77,11
191804,81,15
191904,65,-1
192004,81,15
192104,91,25
192204,55,-11
192304,65,-1
192404,74,8
192504,16,-50
192604,131,65
192704,31,-35
192804,122,56
192904,34,-32
193004,23,-43
193104,135,69
193204,48,-18
193304,59,-7
193404,43,-23
193504,58,-8
193604,80,14
193704,58,-8
193804,78,12
193904,58,-8
194004,70,4
194104,70,4
194204,66,0
194304,31,-35
194404,71,5
194504,80,14
194604,29,-37
194704,66,0
194804,22,-44
194904,107,41
195004,78,12
195104,76,10
195204,104,38
195304,80,14
195404,22,-44
195504,28,-38
195604,69,3
195704,89,23
195804,88,22
195904,96,30
196004,41,-25
196104,85,19
196204,73,7
196304,17,-49
196404,39,-27
196504,28,-38
196604,62,-4
196704,14,-52
196804,70,4
196904,54,-12
197004,53,-13
197104,69,3
197204,27,-39
197304,135,69
197404,51,-15
197504,78,12
197604,57,-9
197704,68,2
197804,37,-29
197904,66,0
198004,97,31
198104,26,-40
198204,79,13
198304,129,63
198404,68,2
198504,41,-25
198604,33,-33
198704,88,22
198804,72,6
198904,49,-17
199004,68,2
199104,38,-28
199204,65,-1
199304,100,34
199404,60,-6
199504,76,10
199604,71,5
199704,139,73
199804,88,22
199904,39,-27
200004,58,-8
200104,33,-33
200204,25,-41
200304,45,-21
200404,61,-5
200504,68,2
200604,14,-52
200704,108,42
200804,60,-6
200904,67,1
201004,57,-9
201104,17,-49
201204,18,-48
201304,96,30
201404,58,-8
201504,42,-24
