Wyoming, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,339,108
189606,175,-56
189706,220,-11
189806,208,-23
189906,277,46
190006,122,-109
190106,297,66
190206,242,11
190306,253,22
190406,296,65
190506,256,25
190606,306,75
190706,323,92
190806,318,87
190906,212,-19
191006,171,-60
191106,157,-74
191206,252,21
191306,200,-31
191406,231,0
191506,364,133
191606,292,61
191706,306,75
191806,123,-108
191906,149,-82
192006,262,31
192106,168,-63
192206,166,-65
192306,244,13
192406,249,18
192506,248,17
192606,207,-24
192706,242,11
192806,363,132
192906,263,32
193006,245,14
193106,133,-98
193206,224,-7
193306,113,-118
193406,196,-35
193506,233,2
193606,131,-100
193706,252,21
193806,187,-44
193906,265,34
194006,149,-82
194106,231,0
194206,275,44
194306,274,43
194406,294,63
194506,371,140
194606,216,-15
194706,347,116
194806,208,-23
194906,248,17
195006,268,37
195106,389,158
195206,168,-63
195306,192,-39
195406,229,-2
195506,285,54
195606,133,-98
195706,255,24
195806,213,-18
195906,144,-87
196006,186,-45
196106,146,-85
196206,244,13
196306,211,-20
196406,273,42
196506,265,34
196606,233,2
196706,312,81
196806,241,10
196906,337,106
197006,218,-13
197106,199,-32
197206,182,-49
197306,214,-17
197406,164,-67
197506,307,76
197606,255,24
197706,118,-113
197806,223,-8
197906,221,-10
198006,188,-43
198106,196,-35
198206,289,58
198306,265,34
198406,249,18
198506,213,-18
198606,132,-99
198706,173,-58
198806,72,-159
198906,240,9
199006,180,-51
199106,189,-42
199206,209,-22
199306,308,77
199406,150,-81
199506,281,50
199606,162,-69
199706,174,-57
199806,357,126
199906,245,14
200006,207,-24
200106,174,-57
200206,146,-85
200306,266,35
200406,251,20
200506,233,2
200606,125,-106
200706,153,-78
200806,252,21
200906,277,46
201006,227,-4
201106,250,19
201206,120,-111
201306,157,-74
201406,252,21
201506,119,-112
