Kansas, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1291,171
189601,1034,-86
189701,1186,66
189801,1049,-71
189901,1122,2
190001,954,-166
190101,1035,-85
190201,1110,-10
190301,1060,-60
190401,1149,29
190501,1391,271
190601,980,-140
190701,1074,-46
190801,957,-163
190901,1118,-2
191001,1109,-11
191101,1007,-113
191201,1463,343
191301,1132,12
191401,893,-227
191501,1150,30
191601,1254,134
191701,1062,-58
191801,1475,355
191901,1088,-32
192001,1105,-15
192101,909,-211
192201,1158,38
192301,846,-274
192401,1249,129
192501,1246,126
192601,1046,-74
192701,1072,-48
192801,996,-124
192901,1304,184
193001,1505,385
193101,922,-198
193201,1121,1
193301,811,-309
193401,942,-178
193501,1000,-120
193601,1280,160
193701,1368,248
193801,992,-128
193901,861,-259
194001,1599,479
194101,1022,-98
194201,1095,-25
194301,1129,9
194401,973,-147
194501,1053,-67
194601,997,-123
194701,1037,-83
194801,1218,98
194901,1302,182
195001,1090,-30
195101,1090,-30
195201,977,-143
195301,949,-171
195401,1128,8
195501,1042,-78
195601,1163,43
195701,1255,135
195801,1024,-96
195901,1244,124
196001,1131,11
196101,1093,-27
196201,1287,167
196301,1388,268
196401,945,-175
196501,1018,-102
196601,1212,92
196701,1022,-98
196801,1124,4
196901,1164,44
197001,1237,117
197101,1190,70
197201,1162,42
197301,1158,38
197401,1243,123
197501,1030,-90
197601,1066,-54
197701,1400,280
197801,1440,320
197901,1562,442
198001,1082,-38
198101,999,-121
198201,1267,147
198301,1048,-72
198401,1175,55
198501,1315,195
198601,862,-258
198701,1075,-45
198801,1194,74
198901,858,-262
199001,840,-280
199101,1218,98
199201,865,-255
199301,1197,77
199401,1133,13
199501,1064,-56
199601,1177,57
199701,1135,15
199801,997,-123
199901,1065,-55
200001,982,-138
200101,1065,-55
200201,951,-169
200301,1064,-56
200401,1080,-40
200501,1084,-36
200601,725,-395
200701,1109,-11
200801,1073,-47
200901,1076,-44
201001,1211,91
201101,1189,69
201201,877,-243
201301,977,-143
201401,1121,1
201501,1021,-99
