Minnesota, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1977,216
189601,1685,-76
189701,1880,119
189801,1521,-240
189901,1822,61
190001,1519,-242
190101,1719,-42
190201,1612,-149
190301,1743,-18
190401,1946,185
190501,1949,188
190601,1558,-203
190701,1955,194
190801,1567,-194
190901,1720,-41
191001,1706,-55
191101,1868,107
191201,2269,508
191301,1794,33
191401,1514,-247
191501,1784,23
191601,1912,151
191701,1963,202
191801,2043,282
191901,1491,-270
192001,1945,184
192101,1513,-248
192201,1761,0
192301,1650,-111
192401,1961,200
192501,1763,2
192601,1660,-101
192701,1764,3
192801,1661,-100
192901,2122,361
193001,1996,235
193101,1408,-353
193201,1585,-176
193301,1486,-275
193401,1541,-220
193501,1878,117
193601,2049,288
193701,2040,279
193801,1772,11
193901,1570,-191
194001,1911,150
194101,1635,-126
194201,1518,-243
194301,1928,167
194401,1346,-415
194501,1743,-18
194601,1688,-73
194701,1537,-224
194801,1881,120
194901,1715,-46
195001,1973,212
195101,1879,118
195201,1783,22
195301,1645,-116
195401,1877,116
195501,1721,-40
195601,1739,-22
195701,1896,135
195801,1493,-268
195901,1879,118
196001,1675,-86
196101,1725,-36
196201,1856,95
196301,1987,226
196401,1498,-263
196501,1866,105
196601,2061,300
196701,1667,-94
196801,1707,-54
196901,1863,102
197001,1949,188
197101,1957,196
197201,1943,182
197301,1608,-153
197401,1773,12
197501,1674,-87
197601,1792,31
197701,2097,336
197801,1936,175
197901,2092,331
198001,1701,-60
198101,1571,-190
198201,2093,332
198301,1541,-220
198401,1726,-35
198501,1782,21
198601,1584,-177
198701,1473,-288
198801,1833,72
198901,1504,-257
199001,1335,-426
199101,1772,11
199201,1452,-309
199301,1704,-57
199401,2029,268
199501,1608,-153
199601,1905,144
199701,1813,52
199801,1528,-233
199901,1731,-30
200001,1645,-116
200101,1490,-271
200201,1387,-374
200301,1653,-108
200401,1787,26
200501,1708,-53
200601,1226,-535
200701,1514,-247
200801,1708,-53
200901,1915,154
201001,1708,-53
201101,1793,32
201201,1408,-353
201301,1611,-150
201401,1908,147
201501,1547,-214
