New Jersey, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1216,99
189601,1213,96
189701,1188,71
189801,1073,-44
189901,1166,49
190001,1106,-11
190101,1123,6
190201,1200,83
190301,1150,33
190401,1370,253
190501,1244,127
190601,958,-159
190701,1096,-21
190801,1108,-9
190901,1062,-55
191001,1158,41
191101,1048,-69
191201,1392,275
191301,853,-264
191401,1104,-13
191501,1052,-65
191601,991,-126
191701,1109,-8
191801,1453,336
191901,1023,-94
192001,1344,227
192101,1049,-68
192201,1225,108
192301,1142,25
192401,1080,-37
192501,1234,117
192601,1128,11
192701,1167,50
192801,1073,-44
192901,1121,4
193001,1095,-22
193101,1098,-19
193201,764,-353
193301,879,-238
193401,1029,-88
193501,1199,82
193601,1241,124
193701,859,-258
193801,1115,-2
193901,1114,-3
194001,1390,273
194101,1169,52
194201,1175,58
194301,1139,22
194401,1066,-51
194501,1321,204
194601,1066,-51
194701,936,-181
194801,1330,213
194901,897,-220
195001,808,-309
195101,1005,-112
195201,981,-136
195301,952,-165
195401,1151,34
195501,1155,38
195601,1112,-5
195701,1220,103
195801,1133,16
195901,1131,14
196001,1044,-73
196101,1312,195
196201,1127,10
196301,1210,93
196401,1072,-45
196501,1217,100
196601,1163,46
196701,971,-146
196801,1262,145
196901,1160,43
197001,1340,223
197101,1249,132
197201,1027,-90
197301,1020,-97
197401,1001,-116
197501,963,-154
197601,1230,113
197701,1427,310
197801,1211,94
197901,1090,-27
198001,1083,-34
198101,1322,205
198201,1348,231
198301,1056,-61
198401,1244,127
198501,1241,124
198601,1078,-39
198701,1121,4
198801,1256,139
198901,966,-151
199001,855,-262
199101,1056,-61
199201,1012,-105
199301,946,-171
199401,1305,188
199501,929,-188
199601,1142,25
199701,1093,-24
199801,832,-285
199901,1015,-102
200001,1102,-15
200101,1106,-11
200201,884,-233
200301,1214,97
200401,1271,154
200501,1106,-11
200601,834,-283
200701,896,-221
200801,966,-151
200901,1203,86
201001,1061,-56
201101,1186,69
201201,934,-183
201301,980,-137
201401,1228,111
201501,1171,54
