California, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,353,21
189604,460,128
189704,279,-53
189804,261,-71
189904,317,-15
190004,417,85
190104,406,74
190204,376,44
190304,383,51
190404,356,24
190504,324,-8
190604,376,44
190704,312,-20
190804,313,-19
190904,340,8
191004,261,-71
191104,403,71
191204,473,141
191304,371,39
191404,312,-20
191504,340,8
191604,304,-28
191704,403,71
191804,330,-2
191904,326,-6
192004,392,60
192104,392,60
192204,435,103
192304,389,57
192404,341,9
192504,350,18
192604,238,-94
192704,364,32
192804,327,-5
192904,444,112
193004,277,-55
193104,231,-101
193204,353,21
193304,375,43
193404,209,-123
193504,350,18
193604,298,-34
193704,363,31
193804,350,18
193904,244,-88
194004,287,-45
194104,395,63
194204,375,43
194304,302,-30
194404,411,79
194504,351,19
194604,291,-41
194704,275,-57
194804,376,44
194904,262,-70
195004,282,-50
195104,330,-2
195204,331,-1
195304,386,54
195404,269,-63
195504,425,93
195604,370,38
195704,337,5
195804,320,-12
195904,210,-122
196004,294,-38
196104,290,-42
196204,238,-94
196304,441,109
196404,369,37
196504,353,21
196604,236,-96
196704,570,238
196804,318,-14
196904,339,7
197004,415,83
197104,391,59
197204,322,-10
197304,334,2
197404,351,19
197504,505,173
197604,412,80
197704,276,-56
197804,385,53
197904,332,0
198004,306,-26
198104,275,-57
198204,356,24
198304,414,82
198404,331,-1
198504,228,-104
198604,302,-30
198704,198,-134
198804,281,-51
198904,186,-146
199004,225,-107
199104,335,3
199204,187,-145
199304,266,-66
199404,284,-48
199504,335,3
199604,227,-105
199704,262,-70
199804,376,44
199904,393,61
200004,235,-97
200104,378,46
200204,293,-39
200304,408,76
200404,233,-99
200504,328,-4
200604,355,23
200704,272,-60
200804,289,-43
200904,306,-26
201004,388,56
201104,311,-21
201204,273,-59
201304,219,-113
201404,217,-115
201504,234,-98
