Oregon, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,209,5
189606,219,15
189706,219,15
189806,198,-6
189906,275,71
190006,155,-49
190106,295,91
190206,230,26
190306,168,-36
190406,208,4
190506,235,31
190606,281,77
190706,223,19
190806,264,60
190906,218,14
191006,267,63
191106,279,75
191206,205,1
191306,219,15
191406,256,52
191506,227,23
191606,253,49
191706,250,46
191806,116,-88
191906,276,72
192006,239,35
192106,169,-35
192206,141,-63
192306,234,30
192406,181,-23
192506,193,-11
192606,122,-82
192706,176,-28
192806,230,26
192906,227,23
193006,248,44
193106,200,-4
193206,151,-53
193306,217,13
193406,181,-23
193506,168,-36
193606,151,-53
193706,167,-37
193806,157,-47
193906,250,46
194006,121,-83
194106,210,6
194206,246,42
194306,260,56
194406,230,26
194506,214,10
194606,237,33
194706,238,34
194806,131,-73
194906,191,-13
195006,201,-3
195106,145,-59
195206,262,58
195306,315,111
195406,299,95
195506,213,9
195606,261,57
195706,172,-32
195806,128,-76
195906,184,-20
196006,164,-40
196106,109,-95
196206,224,20
196306,237,33
196406,251,47
196506,225,21
196606,203,-1
196706,133,-71
196806,188,-16
196906,126,-78
197006,126,-78
197106,285,81
197206,186,-18
197306,183,-21
197406,162,-42
197506,235,31
197606,283,79
197706,151,-53
197806,146,-58
197906,179,-25
198006,286,82
198106,225,21
198206,156,-48
198306,238,34
198406,265,61
198506,162,-42
198606,105,-99
198706,123,-81
198806,210,6
198906,147,-57
199006,194,-10
199106,286,82
199206,102,-102
199306,223,19
199406,222,18
199506,195,-9
199606,195,-9
199706,213,9
199806,192,-12
199906,237,33
200006,134,-70
200106,247,43
200206,157,-47
200306,113,-91
200406,144,-60
200506,244,40
200606,125,-79
200706,202,-2
200806,241,37
200906,159,-45
201006,255,51
201106,249,45
201206,259,55
201306,142,-62
201406,181,-23
201506,53,-151
