North Carolina, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,959,314
189602,639,-6
189702,576,-69
189802,720,75
189902,803,158
190002,733,88
190102,778,133
190202,857,212
190302,591,-54
190402,782,137
190502,902,257
190602,689,44
190702,742,97
190802,769,124
190902,502,-143
191002,706,61
191102,552,-93
191202,786,141
191302,635,-10
191402,761,116
191502,589,-56
191602,643,-2
191702,674,29
191802,532,-113
191902,680,35
192002,752,107
192102,583,-62
192202,512,-133
192302,701,56
192402,727,82
192502,474,-171
192602,571,-74
192702,419,-226
192802,655,10
192902,707,62
193002,517,-128
193102,609,-36
193202,455,-190
193302,604,-41
193402,846,201
193502,630,-15
193602,772,127
193702,655,10
193802,503,-142
193902,483,-162
194002,665,20
194102,793,148
194202,768,123
194302,600,-45
194402,572,-73
194502,601,-44
194602,588,-57
194702,826,181
194802,649,4
194902,467,-178
195002,552,-93
195102,607,-38
195202,590,-55
195302,551,-94
195402,527,-118
195502,626,-19
195602,541,-104
195702,504,-141
195802,851,206
195902,598,-47
196002,695,50
196102,577,-68
196202,578,-67
196302,818,173
196402,745,100
196502,664,19
196602,693,48
196702,749,104
196802,839,194
196902,711,66
197002,689,44
197102,668,23
197202,705,60
197302,720,75
197402,612,-33
197502,553,-92
197602,445,-200
197702,699,54
197802,880,235
197902,819,174
198002,793,148
198102,639,-6
198202,579,-66
198302,681,36
198402,551,-94
198502,658,13
198602,568,-77
198702,699,54
198802,669,24
198902,608,-37
199002,440,-205
199102,542,-103
199202,536,-109
199302,697,52
199402,612,-33
199502,698,53
199602,644,-1
199702,531,-114
199802,546,-99
199902,562,-83
200002,541,-104
200102,519,-126
200202,576,-69
200302,660,15
200402,694,49
200502,589,-56
200602,635,-10
200702,722,77
200802,530,-115
200902,615,-30
201002,783,138
201102,537,-108
201202,536,-109
201302,649,4
201402,608,-37
201502,837,192
