Nebraska, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,49,6
189606,42,-1
189706,47,4
189806,32,-11
189906,35,-8
190006,28,-15
190106,26,-17
190206,88,45
190306,103,60
190406,76,33
190506,43,0
190606,63,20
190706,62,19
190806,68,25
190906,45,2
191006,40,-3
191106,9,-34
191206,85,42
191306,28,-15
191406,19,-24
191506,101,58
191606,92,49
191706,62,19
191806,14,-29
191906,35,-8
192006,40,-3
192106,16,-27
192206,19,-24
192306,41,-2
192406,71,28
192506,25,-18
192606,51,8
192706,61,18
192806,111,68
192906,55,12
193006,50,7
193106,8,-35
193206,30,-13
193306,2,-41
193406,5,-38
193506,76,33
193606,18,-25
193706,41,-2
193806,30,-13
193906,26,-17
194006,24,-19
194106,43,0
194206,46,3
194306,33,-10
194406,34,-9
194506,130,87
194606,24,-19
194706,77,34
194806,44,1
194906,31,-12
195006,40,-3
195106,113,70
195206,8,-35
195306,12,-31
195406,20,-23
195506,76,33
195606,10,-33
195706,53,10
195806,57,14
195906,19,-24
196006,58,15
196106,39,-4
196206,47,4
196306,14,-29
196406,43,0
196506,45,2
196606,38,-5
196706,66,23
196806,23,-20
196906,86,43
197006,27,-16
197106,15,-28
197206,29,-14
197306,27,-16
197406,46,3
197506,48,5
197606,34,-9
197706,18,-25
197806,28,-15
197906,38,-5
198006,21,-22
198106,20,-23
198206,92,49
198306,50,7
198406,27,-16
198506,60,17
198606,16,-27
198706,18,-25
198806,8,-35
198906,60,17
199006,20,-23
199106,15,-28
199206,72,29
199306,63,20
199406,20,-23
199506,47,4
199606,27,-16
199706,27,-16
199806,61,18
199906,53,10
200006,40,-3
200106,36,-7
200206,9,-34
200306,58,15
200406,67,24
200506,21,-22
200606,18,-25
200706,31,-12
200806,38,-5
200906,47,4
201006,25,-18
201106,35,-8
201206,14,-29
201306,34,-9
201406,34,-9
201506,30,-13
