Utah, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1208,185
189602,1037,14
189702,1104,81
189802,1048,25
189902,1138,115
190002,1010,-13
190102,1021,-2
190202,905,-118
190302,1450,427
190402,957,-66
190502,1052,29
190602,1007,-16
190702,790,-233
190802,1048,25
190902,1044,21
191002,1144,121
191102,1110,87
191202,992,-31
191302,1113,90
191402,1070,47
191502,963,-60
191602,1003,-20
191702,1161,138
191802,1079,56
191902,1029,6
192002,927,-96
192102,976,-47
192202,1143,120
192302,1255,232
192402,862,-161
192502,904,-119
192602,915,-108
192702,950,-73
192802,1000,-23
192902,1242,219
193002,885,-138
193102,969,-54
193202,1089,66
193302,1368,345
193402,768,-255
193502,931,-92
193602,1003,-20
193702,1128,105
193802,925,-98
193902,1284,261
194002,918,-105
194102,919,-104
194202,1199,176
194302,978,-45
194402,1107,84
194502,938,-85
194602,1044,21
194702,905,-118
194802,1077,54
194902,1267,244
195002,1006,-17
195102,953,-70
195202,1187,164
195302,975,-48
195402,906,-117
195502,1279,256
195602,1200,177
195702,894,-129
195802,833,-190
195902,985,-38
196002,1163,140
196102,897,-126
196202,998,-25
196302,797,-226
196402,1225,202
196502,1019,-4
196602,1142,119
196702,984,-39
196802,927,-96
196902,1084,61
197002,844,-179
197102,1004,-19
197202,924,-99
197302,1115,92
197402,1129,106
197502,1043,20
197602,996,-27
197702,966,-57
197802,939,-84
197902,1098,75
198002,950,-73
198102,916,-107
198202,1099,76
198302,936,-87
198402,1219,196
198502,1240,217
198602,860,-163
198702,946,-77
198802,1012,-11
198902,1189,166
199002,1072,49
199102,898,-125
199202,871,-152
199302,1117,94
199402,1036,13
199502,778,-245
199602,962,-61
199702,1060,37
199802,979,-44
199902,937,-86
200002,859,-164
200102,996,-27
200202,1094,71
200302,1022,-1
200402,1103,80
200502,961,-62
200602,1020,-3
200702,923,-100
200802,1036,13
200902,965,-58
201002,1015,-8
201102,1062,39
201202,980,-43
201302,1105,82
201402,890,-133
201502,772,-251
