Connecticut, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,76,-41
189609,154,37
189709,144,27
189809,74,-43
189909,166,49
190009,57,-60
190109,100,-17
190209,128,11
190309,131,14
190409,146,29
190509,144,27
190609,75,-42
190709,93,-24
190809,85,-32
190909,138,21
191009,112,-5
191109,131,14
191209,132,15
191309,168,51
191409,122,5
191509,66,-51
191609,113,-4
191709,220,103
191809,207,90
191909,123,6
192009,89,-28
192109,45,-72
192209,96,-21
192309,93,-24
192409,196,79
192509,108,-9
192609,153,36
192709,117,0
192809,187,70
192909,85,-32
193009,50,-67
193109,50,-67
193209,103,-14
193309,85,-32
193409,72,-45
193509,169,52
193609,103,-14
193709,156,39
193809,176,59
193909,123,6
194009,152,35
194109,91,-26
194209,107,-10
194309,118,1
194409,79,-38
194509,56,-61
194609,79,-38
194709,104,-13
194809,90,-27
194909,150,33
195009,191,74
195109,119,2
195209,98,-19
195309,86,-31
195409,148,31
195509,126,9
195609,194,77
195709,98,-19
195809,127,10
195909,54,-63
196009,122,5
196109,22,-95
196209,183,66
196309,200,83
196409,124,7
196509,99,-18
196609,150,33
196709,133,16
196809,86,-31
196909,100,-17
197009,91,-26
197109,52,-65
197209,90,-27
197309,104,-13
197409,127,10
197509,183,66
197609,148,31
197709,105,-12
197809,175,58
197909,117,0
198009,76,-41
198109,133,16
198209,109,-8
198309,58,-59
198409,175,58
198509,91,-26
198609,141,24
198709,117,0
198809,137,20
198909,95,-22
199009,115,-2
199109,127,10
199209,119,2
199309,106,-11
199409,114,-3
199509,132,15
199609,96,-21
199709,109,-8
199809,63,-54
199909,59,-58
200009,119,2
200109,92,-25
200209,56,-61
200309,77,-40
200409,70,-47
200509,39,-78
200609,119,2
200709,59,-58
200809,78,-39
200909,122,5
201009,45,-72
201109,35,-82
201209,78,-39
201309,114,-3
201409,72,-45
201509,22,-95
