Wyoming, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1540,128
189601,1317,-95
189701,1485,73
189801,1547,135
189901,1379,-33
190001,1255,-157
190101,1356,-56
190201,1440,28
190301,1343,-69
190401,1426,14
190501,1423,11
190601,1329,-83
190701,1486,74
190801,1367,-45
190901,1366,-46
191001,1487,75
191101,1296,-116
191201,1461,49
191301,1460,48
191401,1259,-153
191501,1464,52
191601,1702,290
191701,1596,184
191801,1559,147
191901,1283,-129
192001,1296,-116
192101,1308,-104
192201,1647,235
192301,1237,-175
192401,1567,155
192501,1411,-1
192601,1429,17
192701,1379,-33
192801,1288,-124
192901,1620,208
193001,1862,450
193101,1310,-102
193201,1608,196
193301,1337,-75
193401,1186,-226
193501,1268,-144
193601,1458,46
193701,1868,456
193801,1319,-93
193901,1292,-120
194001,1555,143
194101,1331,-81
194201,1503,91
194301,1393,-19
194401,1449,37
194501,1342,-70
194601,1329,-83
194701,1399,-13
194801,1409,-3
194901,1843,431
195001,1540,128
195101,1486,74
195201,1414,2
195301,1086,-326
195401,1271,-141
195501,1443,31
195601,1317,-95
195701,1636,224
195801,1304,-108
195901,1371,-41
196001,1419,7
196101,1313,-99
196201,1621,209
196301,1658,246
196401,1403,-9
196501,1217,-195
196601,1442,30
196701,1259,-153
196801,1412,0
196901,1344,-68
197001,1359,-53
197101,1323,-89
197201,1483,71
197301,1511,99
197401,1484,72
197501,1408,-4
197601,1383,-29
197701,1502,90
197801,1488,76
197901,1833,421
198001,1494,82
198101,1135,-277
198201,1456,44
198301,1169,-243
198401,1419,7
198501,1546,134
198601,1183,-229
198701,1356,-56
198801,1478,66
198901,1310,-102
199001,1229,-183
199101,1457,45
199201,1276,-136
199301,1469,57
199401,1261,-151
199501,1289,-123
199601,1448,36
199701,1404,-8
199801,1277,-135
199901,1223,-189
200001,1236,-176
200101,1334,-78
200201,1349,-63
200301,1118,-294
200401,1319,-93
200501,1217,-195
200601,1139,-273
200701,1473,61
200801,1474,62
200901,1260,-152
201001,1298,-114
201101,1353,-59
201201,1205,-207
201301,1355,-57
201401,1270,-142
201501,1201,-211
